Instance_Name,Number_Of_Customers,Number_Of_Hotels,Objective_Value,Sum_of_Trips,Penalties,Hotel_Fees,Max_Trip_Length,Number_Of_Trips,Prize,Time,Trace
berlin52_3,51,10,6343,4812,887,644,1148,5,889,0.28492259979248047,[6704; 6343; 8368; 10245; 13486; 16758; 22356; 29548; 34591; 43755; 53106; 62797]

berlin52_3,51,10,6343,4812,887,644,1148,5,889,0.35537147521972656,[6704; 6343; 6816; 9244; 12454; 17050; 23782; 33820; 38647; 44119; 53910; 64491]

berlin52_3,51,10,6343,4812,887,644,1148,5,889,0.30254435539245605,[6704; 6343; 6343; 8894; 11283; 16392; 18644; 25335; 32578; 39133; 45277; 53920]

berlin52_3,51,10,6343,4812,887,644,1148,5,889,0.34984493255615234,[6704; 6343; 6572; 6572; 10051; 14697; 19241; 25794; 32413; 40403; 44934; 57716]

berlin52_3,51,10,6343,4812,887,644,1148,5,889,0.28722214698791504,[6704; 6343; 8113; 9773; 13762; 21616; 28336; 33041; 41294; 46992; 53782; 63006]

rc101_2,100,6,701822,1822,0,700000,234,8,10000,0.34908604621887207,[701843; 701822; 801982; 1002149; 1302358; 1702635; 2203104; 2803469; 3503792; 4304089; 5204751; 6205315]

rc101_2,100,6,701822,1822,0,700000,234,8,10000,1.6418325901031494,[701843; 701822; 701822; 902043; 1202253; 1602421; 2102859; 2703275; 3403822; 4204603; 1202022; 1102014]

rc101_2,100,6,701822,1822,0,700000,234,8,10000,1.0823893547058105,[701843; 701822; 701822; 701822; 1002281; 1402599; 1902913; 2503349; 3203760; 901913; 1802814; 2803630]

rc101_2,100,6,701822,1822,0,700000,234,8,10000,1.9116826057434082,[701843; 701822; 701822; 902041; 1202319; 1602671; 2103004; 2703600; 3403955; 801846; 801878; 901907]

rc101_2,100,6,701822,1822,0,700000,234,8,10000,1.648385763168335,[701843; 701822; 701822; 701822; 1002126; 901849; 1402112; 2002436; 2702800; 3503469; 1001900; 2002607]

rc101_3,100,6,1030,718,90,222,240,3,2812,4.197652816772461,[1547; 1030; 1218; 1678; 1811; 1705; 1930; 2142; 2142; 2413; 2436; 7229]

rc101_3,100,6,1030,718,90,222,240,3,2812,7.125797748565674,[1547; 1030; 1843; 2383; 3995; 5945; 1548; 1592; 1599; 1591; 1606; 1617]

rc101_3,100,6,1030,718,90,222,240,3,2812,6.480220079421997,[1547; 1030; 1221; 1221; 2154; 1407; 1681; 1726; 1741; 1738; 1946; 2349]

rc101_3,100,6,1030,718,90,222,240,3,2812,7.160616636276245,[1547; 1030; 1214; 1344; 1376; 1654; 1654; 1651; 1668; 1677; 1939; 1955]

rc101_3,100,6,1030,718,90,222,240,3,2812,7.0617382526397705,[1547; 1030; 1780; 1467; 1635; 1583; 1551; 1558; 5877; 1694; 1875; 1851]

pr8_2,144,6,307225,7225,0,300000,1965,4,14400,10,[307818; 307225; 407479; 407595; 507684; 507670; 407408; 407408; 407416]

pr8_2,144,6,307225,7225,0,300000,1965,4,14400,10,[307818; 307225; 307235; 507807; 507451; 507538; 507531; 507530]

pr8_2,144,6,307219,7219,0,300000,1965,4,14400,10,[307818; 307225; 307225; 307225; 307219; 307219; 307219; 407352; 507590; 507595; 407509]

pr8_2,144,6,307225,7225,0,300000,1965,4,14400,10,[307818; 307225; 307231; 407593; 708780; 1109540; 507701; 507709; 507855; 507907]

pr8_2,144,6,307217,7217,0,300000,1965,4,14400,10,[307818; 307225; 407606; 307232; 307217; 307217; 307217; 407425; 407372; 507645]

gil250_1,249,1,101717,1717,0,100000,1195,2,9083,10,[101950; 101717; 101777; 101777; 101776; 101752]

gil250_1,249,1,101717,1717,0,100000,1195,2,9083,10,[101950; 101717; 101727; 101727; 101727; 101732]

gil250_1,249,1,101691,1691,0,100000,1173,2,9083,10,[101950; 101717; 101717; 101703; 101703; 101703; 101703; 101691]

gil250_1,249,1,101717,1717,0,100000,1195,2,9083,10,[101950; 101717; 101717; 101717; 101745]

gil250_1,249,1,101702,1702,0,100000,1196,2,9080,10,[101950; 101717; 101717; 101702; 101702; 101809]

gil262_1,249,13,5029,1895,2128,1006,320,6,9978,3.771021604537964,[5814; 5029; 5292; 6198; 7135; 8857; 11233; 13820; 16307; 19020; 22582; 26208]

gil262_1,249,13,5029,1895,2128,1006,320,6,9978,10,[5814; 5029; 5029; 5935; 6774; 6716]

gil262_1,249,13,5029,1895,2128,1006,320,6,9978,10,[5814; 5029; 5202; 5876; 6675; 8274; 10485; 10732]

gil262_1,249,13,5029,1895,2128,1006,320,6,9978,2.6484858989715576,[5814; 5029; 5461; 6115; 7305; 8938; 10663; 12770; 15483; 18356; 21508; 25003]

gil262_1,249,13,4272,2190,976,1106,320,7,11130,10,[5814; 5029; 4272; 4555; 5544]

a280_1,279,10,703585,3585,0,700000,496,8,27900,10,[703965; 703585; 803968; 803721; 803721; 803721; 1305304; 1906447]

a280_1,279,10,703585,3585,0,700000,496,8,27900,10,[703965; 703585; 703585; 703594; 803751; 903804; 1404954; 2006631]

a280_1,279,10,703585,3585,0,700000,496,8,27900,10,[703965; 703585; 803676; 903857; 903858; 803772]

a280_1,279,10,703585,3585,0,700000,496,8,27900,10,[703965; 703585; 703585; 803652; 803837; 904000; 1404995; 2006341]

a280_1,279,10,703562,3562,0,700000,496,8,27900,3.04860782623291,[703965; 703585; 703585; 703562; 804050; 1004601; 1305056; 1705531; 2206823; 2808211; 3509655; 4311568; 5213520; 6214913]

