Instance_Name,Number_Of_Customers,Number_Of_Hotels,Objective_Value,Sum_of_Trips,Penalties,Hotel_Fees,Max_Trip_Length,Number_Of_Trips,Prize,Time,Trace
test,3,2,1280,480,800,0,480,1,1000,0.06984186172485352,[1280, 1280, 1280, 1280, 1280, 2900, 4040, 6410, 9520, 11700, 14270, 16750]
test,3,2,1280,480,800,0,480,1,1000,0.07359671592712402,[1280, 1280, 1960, 2640, 3580, 4720, 6500, 7640, 9820, 13580, 15460, 17540]
rand_21,289,13,4546,2367,738,1441,319,8,11370,2.8830909729003906,[4785, 4546, 5214, 6135, 7650, 9258, 11503, 14029, 17283, 21218, 25469, 29676]
rand_21,289,13,4546,2367,738,1441,319,8,11370,9.481759309768677,[4785, 4546, 4800, 5180, 5439, 7269, 9409, 12236, 15968, 19898, 23595, 27960]
rand_21,289,13,4546,2367,738,1441,319,8,11370,3.149463415145874,[4785, 4546, 5193, 6174, 7682, 9262, 11434, 14388, 17301, 20912, 24564, 28952]
