Instance_Name,Number_Of_Customers,Number_Of_Hotels,Objective_Value,Sum_of_Trips,Penalties,Hotel_Fees,Max_Trip_Length,Number_Of_Trips,Prize,Time,Trace,Neighborhood,Step_Function
pr8_2,144,6,307413,7413,0,300000,1996,4,14400,0.3034994602203369,[307818, 307815, 307771, 307767, 307764, 307752, 307751, 307747, 307730, 307725, 307712, 307706, 307679, 307677, 307662, 307653, 307646, 307630, 307628, 307490, 307482, 307481, 307474, 307413, 307413],trip_2_opt,Step_Function_Type.FIRST
gil250_1,249,1,101785,1785,0,100000,1215,2,9104,1.0202076435089111,[101950, 101949, 101948, 101935, 101927, 101926, 101925, 101923, 101920, 101919, 101909, 101906, 101903, 101899, 101893, 101892, 101889, 101882, 101875, 101871, 101870, 101865, 101864, 101862, 101861, 101860, 101853, 101850, 101841, 101833, 101831, 101816, 101815, 101812, 101810, 101808, 101800, 101795, 101794, 101788, 101785, 101785],trip_2_opt,Step_Function_Type.FIRST
gil262_1,249,13,5764,1803,2955,1006,313,6,9151,0.19594502449035645,[5814, 5813, 5810, 5808, 5807, 5805, 5802, 5800, 5798, 5793, 5783, 5779, 5774, 5773, 5772, 5770, 5767, 5764, 5764],trip_2_opt,Step_Function_Type.FIRST
a280_1,279,10,703658,3658,0,700000,495,8,27900,0.9486379623413086,[703965, 703960, 703950, 703943, 703940, 703930, 703924, 703917, 703914, 703912, 703910, 703909, 703907, 703901, 703898, 703895, 703894, 703887, 703886, 703876, 703867, 703866, 703863, 703857, 703855, 703849, 703840, 703835, 703834, 703833, 703827, 703820, 703810, 703804, 703801, 703798, 703796, 703790, 703781, 703776, 703765, 703759, 703752, 703747, 703746, 703743, 703724, 703721, 703715, 703709, 703707, 703696, 703692, 703668, 703658, 703658],trip_2_opt,Step_Function_Type.FIRST
test,3,2,1070,970,0,100,600,2,2000,1.621246337890625e-05,[1070, 1070],remove_hotel,Step_Function_Type.FIRST
rc101_1,10,2,235,235,0,0,235,1,1000,5.245208740234375e-06,[235, 235],remove_hotel,Step_Function_Type.FIRST
pr8_1,30,2,102304,2304,0,100000,1925,2,3000,1.33514404296875e-05,[102304, 102304],remove_hotel,Step_Function_Type.FIRST
eil51_1,50,1,515,336,179,0,336,1,598,6.4373016357421875e-06,[515, 515],remove_hotel,Step_Function_Type.FIRST
berlin51_1,51,10,910253,10253,0,900000,1146,10,5100,8.249282836914062e-05,[910253, 910253],remove_hotel,Step_Function_Type.FIRST
berlin52_2,51,10,8567,7145,360,1062,1318,6,1416,4.482269287109375e-05,[8567, 8567],remove_hotel,Step_Function_Type.FIRST
berlin52_3,51,10,6704,5181,879,644,1148,5,897,4.2438507080078125e-05,[6704, 6704],remove_hotel,Step_Function_Type.FIRST
rc101_2,100,6,701843,1843,0,700000,235,8,10000,5.936622619628906e-05,[701843, 701843],remove_hotel,Step_Function_Type.FIRST
rc101_3,100,6,1547,633,692,222,227,3,2210,1.9788742065429688e-05,[1547, 1547],remove_hotel,Step_Function_Type.FIRST
pr8_2,144,6,307818,7818,0,300000,1999,4,14400,2.6226043701171875e-05,[307818, 307818],remove_hotel,Step_Function_Type.FIRST
gil250_1,249,1,101950,1950,0,100000,1294,2,9104,1.4543533325195312e-05,[101950, 101950],remove_hotel,Step_Function_Type.FIRST
gil262_1,249,13,5814,1853,2955,1006,319,6,9151,6.842613220214844e-05,[5814, 5814],remove_hotel,Step_Function_Type.FIRST
a280_1,279,10,703965,3965,0,700000,515,8,27900,8.988380432128906e-05,[703965, 703965],remove_hotel,Step_Function_Type.FIRST
test,3,2,1070,970,0,100,600,2,2000,0.00019216537475585938,[1070, 1070],add_hotel,Step_Function_Type.FIRST
rc101_1,10,2,235,235,0,0,235,1,1000,0.0005168914794921875,[235, 235],add_hotel,Step_Function_Type.FIRST
pr8_1,30,2,102304,2304,0,100000,1925,2,3000,0.0015087127685546875,[102304, 102304],add_hotel,Step_Function_Type.FIRST
eil51_1,50,1,515,336,179,0,336,1,598,0.0009486675262451172,[515, 515],add_hotel,Step_Function_Type.FIRST
berlin51_1,51,10,910253,10253,0,900000,1146,10,5100,0.010197162628173828,[910253, 910253],add_hotel,Step_Function_Type.FIRST
berlin52_2,51,10,8567,7145,360,1062,1318,6,1416,0.0070438385009765625,[8567, 8567],add_hotel,Step_Function_Type.FIRST
berlin52_3,51,10,6704,5181,879,644,1148,5,897,0.005063533782958984,[6704, 6704],add_hotel,Step_Function_Type.FIRST
rc101_2,100,6,701843,1843,0,700000,235,8,10000,0.010217666625976562,[701843, 701843],add_hotel,Step_Function_Type.FIRST
rc101_3,100,6,1547,633,692,222,227,3,2210,0.00782155990600586,[1547, 1547],add_hotel,Step_Function_Type.FIRST
pr8_2,144,6,307818,7818,0,300000,1999,4,14400,0.016470670700073242,[307818, 307818],add_hotel,Step_Function_Type.FIRST
gil250_1,249,1,101950,1950,0,100000,1294,2,9104,0.0037107467651367188,[101950, 101950],add_hotel,Step_Function_Type.FIRST
gil262_1,249,13,5814,1853,2955,1006,319,6,9151,0.03761410713195801,[5814, 5814],add_hotel,Step_Function_Type.FIRST
a280_1,279,10,703965,3965,0,700000,515,8,27900,0.04639267921447754,[703965, 703965],add_hotel,Step_Function_Type.FIRST
test,3,2,1070,970,0,100,600,2,2000,3.337860107421875e-05,[1070, 1070],exchange_hotel,Step_Function_Type.FIRST
rc101_1,10,2,235,235,0,0,235,1,1000,5.7220458984375e-06,[235, 235],exchange_hotel,Step_Function_Type.FIRST
pr8_1,30,2,102304,2304,0,100000,1925,2,3000,3.123283386230469e-05,[102304, 102304],exchange_hotel,Step_Function_Type.FIRST
eil51_1,50,1,515,336,179,0,336,1,598,6.4373016357421875e-06,[515, 515],exchange_hotel,Step_Function_Type.FIRST
berlin51_1,51,10,910253,10253,0,900000,1146,10,5100,0.0008711814880371094,[910253, 910253],exchange_hotel,Step_Function_Type.FIRST
berlin52_2,51,10,8379,6959,360,1060,1318,6,1416,0.0006465911865234375,[8567, 8379, 8379],exchange_hotel,Step_Function_Type.FIRST
berlin52_3,51,10,6704,5181,879,644,1148,5,897,0.0002193450927734375,[6704, 6704],exchange_hotel,Step_Function_Type.FIRST
rc101_2,100,6,701843,1843,0,700000,235,8,10000,0.0005621910095214844,[701843, 701843],exchange_hotel,Step_Function_Type.FIRST
rc101_3,100,6,1547,633,692,222,227,3,2210,8.320808410644531e-05,[1547, 1547],exchange_hotel,Step_Function_Type.FIRST
pr8_2,144,6,307818,7818,0,300000,1999,4,14400,0.000194549560546875,[307818, 307818],exchange_hotel,Step_Function_Type.FIRST
gil250_1,249,1,101950,1950,0,100000,1294,2,9104,4.076957702636719e-05,[101950, 101950],exchange_hotel,Step_Function_Type.FIRST
gil262_1,249,13,5814,1853,2955,1006,319,6,9151,0.0003173351287841797,[5814, 5814],exchange_hotel,Step_Function_Type.FIRST
a280_1,279,10,703939,3939,0,700000,515,8,27900,0.0009226799011230469,[703965, 703939, 703939],exchange_hotel,Step_Function_Type.FIRST
test,3,2,1070,970,0,100,600,2,2000,6.651878356933594e-05,[1070, 1070],move_hotel,Step_Function_Type.FIRST
rc101_1,10,2,235,235,0,0,235,1,1000,8.58306884765625e-06,[235, 235],move_hotel,Step_Function_Type.FIRST
pr8_1,30,2,102304,2304,0,100000,1925,2,3000,0.0006816387176513672,[102304, 102304],move_hotel,Step_Function_Type.FIRST
eil51_1,50,1,515,336,179,0,336,1,598,6.67572021484375e-06,[515, 515],move_hotel,Step_Function_Type.FIRST
berlin51_1,51,10,909351,9351,0,900000,1146,10,5100,0.0038018226623535156,[910253, 910171, 910005, 909466, 909351, 909351],move_hotel,Step_Function_Type.FIRST
berlin52_2,51,10,8567,7145,360,1062,1318,6,1416,0.0010519027709960938,[8567, 8567],move_hotel,Step_Function_Type.FIRST
berlin52_3,51,10,6455,4932,879,644,1148,5,897,0.0017104148864746094,[6704, 6622, 6455, 6455],move_hotel,Step_Function_Type.FIRST
rc101_2,100,6,701843,1843,0,700000,235,8,10000,0.003378152847290039,[701843, 701843],move_hotel,Step_Function_Type.FIRST
rc101_3,100,6,1534,620,692,222,240,3,2210,0.0018525123596191406,[1547, 1534, 1534],move_hotel,Step_Function_Type.FIRST
pr8_2,144,6,307818,7818,0,300000,1999,4,14400,0.004784584045410156,[307818, 307818],move_hotel,Step_Function_Type.FIRST
gil250_1,249,1,101946,1946,0,100000,1305,2,9104,0.004624605178833008,[101950, 101946, 101946],move_hotel,Step_Function_Type.FIRST
gil262_1,249,13,5814,1853,2955,1006,319,6,9151,0.005863189697265625,[5814, 5814],move_hotel,Step_Function_Type.FIRST
a280_1,279,10,703835,3835,0,700000,515,8,27900,0.02471637725830078,[703965, 703900, 703881, 703835, 703835],move_hotel,Step_Function_Type.FIRST
test,3,2,1070,970,0,100,600,2,2000,3.4332275390625e-05,[1070, 1070],remove_customer,Step_Function_Type.BEST
rc101_1,10,2,235,235,0,0,235,1,1000,8.702278137207031e-05,[235, 235],remove_customer,Step_Function_Type.BEST
pr8_1,30,2,102304,2304,0,100000,1925,2,3000,0.0002810955047607422,[102304, 102304],remove_customer,Step_Function_Type.BEST
eil51_1,50,1,507,314,193,0,314,1,584,0.0009214878082275391,[515, 509, 507, 507],remove_customer,Step_Function_Type.BEST
berlin51_1,51,10,910253,10253,0,900000,1146,10,5100,0.00042176246643066406,[910253, 910253],remove_customer,Step_Function_Type.BEST
berlin52_2,51,10,8094,6590,442,1062,1318,6,1334,0.0013706684112548828,[8567, 8260, 8166, 8094, 8094],remove_customer,Step_Function_Type.BEST
berlin52_3,51,10,6620,5089,887,644,1148,5,889,0.0005900859832763672,[6704, 6620, 6620],remove_customer,Step_Function_Type.BEST
rc101_2,100,6,701843,1843,0,700000,235,8,10000,0.0007915496826171875,[701843, 701843],remove_customer,Step_Function_Type.BEST
rc101_3,100,6,1547,633,692,222,227,3,2210,0.0006618499755859375,[1547, 1547],remove_customer,Step_Function_Type.BEST
pr8_2,144,6,307818,7818,0,300000,1999,4,14400,0.0012576580047607422,[307818, 307818],remove_customer,Step_Function_Type.BEST
gil250_1,249,1,101929,1929,0,100000,1294,2,9083,0.003560781478881836,[101950, 101937, 101929, 101929],remove_customer,Step_Function_Type.BEST
gil262_1,249,13,5780,1784,2990,1006,309,6,9116,0.010306119918823242,[5814, 5804, 5796, 5789, 5784, 5782, 5780, 5780],remove_customer,Step_Function_Type.BEST
a280_1,279,10,703965,3965,0,700000,515,8,27900,0.0019414424896240234,[703965, 703965],remove_customer,Step_Function_Type.BEST
test,3,2,1070,970,0,100,600,2,2000,9.059906005859375e-06,[1070, 1070],add_customer,Step_Function_Type.BEST
rc101_1,10,2,235,235,0,0,235,1,1000,9.059906005859375e-06,[235, 235],add_customer,Step_Function_Type.BEST
pr8_1,30,2,102304,2304,0,100000,1925,2,3000,1.9311904907226562e-05,[102304, 102304],add_customer,Step_Function_Type.BEST
eil51_1,50,1,497,348,149,0,348,1,628,0.010405302047729492,[515, 501, 497, 497],add_customer,Step_Function_Type.BEST
berlin51_1,51,10,910253,10253,0,900000,1146,10,5100,2.7418136596679688e-05,[910253, 910253],add_customer,Step_Function_Type.BEST
berlin52_2,51,10,8567,7145,360,1062,1318,6,1416,0.0028810501098632812,[8567, 8567],add_customer,Step_Function_Type.BEST
berlin52_3,51,10,6704,5181,879,644,1148,5,897,0.004568338394165039,[6704, 6704],add_customer,Step_Function_Type.BEST
rc101_2,100,6,701843,1843,0,700000,235,8,10000,4.291534423828125e-05,[701843, 701843],add_customer,Step_Function_Type.BEST
rc101_3,100,6,1109,713,174,222,240,3,2728,0.16632080078125,[1547, 1505, 1465, 1420, 1372, 1328, 1283, 1248, 1230, 1199, 1175, 1159, 1149, 1136, 1129, 1120, 1117, 1109, 1109],add_customer,Step_Function_Type.BEST
pr8_2,144,6,307818,7818,0,300000,1999,4,14400,3.814697265625e-05,[307818, 307818],add_customer,Step_Function_Type.BEST
gil250_1,249,1,101950,1950,0,100000,1294,2,9104,0.10716056823730469,[101950, 101950],add_customer,Step_Function_Type.BEST
gil262_1,249,13,5610,1871,2733,1006,320,6,9373,0.5512192249298096,[5814, 5747, 5738, 5682, 5629, 5616, 5610, 5610],add_customer,Step_Function_Type.BEST
a280_1,279,10,703965,3965,0,700000,515,8,27900,6.914138793945312e-05,[703965, 703965],add_customer,Step_Function_Type.BEST
test,3,2,1070,970,0,100,600,2,2000,3.2901763916015625e-05,[1070, 1070],insert_customer,Step_Function_Type.BEST
rc101_1,10,2,235,235,0,0,235,1,1000,0.0008003711700439453,[235, 235],insert_customer,Step_Function_Type.BEST
pr8_1,30,2,102192,2192,0,100000,1813,2,3000,0.053139448165893555,[102304, 102244, 102228, 102214, 102203, 102195, 102193, 102192, 102192],insert_customer,Step_Function_Type.BEST
eil51_1,50,1,501,322,179,0,322,1,598,0.048264503479003906,[515, 509, 503, 501, 501],insert_customer,Step_Function_Type.BEST
berlin51_1,51,10,909745,9745,0,900000,1146,10,5100,0.03898310661315918,[910253, 910008, 909928, 909866, 909812, 909775, 909755, 909750, 909747, 909745, 909745],insert_customer,Step_Function_Type.BEST
berlin52_2,51,10,8196,6774,360,1062,1313,6,1416,0.02867412567138672,[8567, 8321, 8260, 8221, 8201, 8196, 8196],insert_customer,Step_Function_Type.BEST
berlin52_3,51,10,6464,4941,879,644,1148,5,897,0.02206730842590332,[6704, 6624, 6563, 6508, 6469, 6464, 6464],insert_customer,Step_Function_Type.BEST
rc101_2,100,6,701836,1836,0,700000,235,8,10000,0.06346821784973145,[701843, 701840, 701839, 701838, 701837, 701836, 701836],insert_customer,Step_Function_Type.BEST
