type,saw_policy,population_size,random_k,alpha,beta,rho,p,local_information,min_max_ant_system,termination_criterion,iteration,instance,starting-time,fitness
algorithm,Constant-Weights(Gamma-1:3;Gamma-2:3;Gamma-3:3),100,5,1,1,0.24,0.5,objective_value,True,200,18,rand_test_15,20230104:02:58:29,[1513113835.26875;1513113835.26875;1513113835.26875;1513113835.26875;1513113835.26875;1513113835.26875;1513113835.26875;1513113835.26875;1513113835.26875;1513113835.26875]
algorithm,Constant-Weights(Gamma-1:3;Gamma-2:3;Gamma-3:3),100,5,1,1,0.24,0.25,objective_value,True,200,18,rand_test_15,20230104:03:12:57,[1513113895.75625;1513113895.75625;1513113895.75625;1513113895.75625;1513113895.75625;1513113895.75625;1513113895.75625;1513113895.75625;1513113895.75625;1513113895.75625]
algorithm,Constant-Weights(Gamma-1:3;Gamma-2:3;Gamma-3:3),50,5,1,1,0.24,0.5,objective_value,True,200,19,rand_test_8,20230104:03:19:55,[642681788.2187499;642681788.2187499;642681788.2187499;642681788.2187499;642681788.2187499;642681788.2187499;642681788.2187499;642681788.2187499;642681788.2187499;642681788.2187499]
algorithm,Constant-Weights(Gamma-1:3;Gamma-2:3;Gamma-3:3),50,5,1,1,0.24,0.25,objective_value,True,200,19,rand_test_8,20230104:03:26:54,[642682112.1999999;642682112.1999999;642682112.1999999;642682112.1999999;642682112.1999999;642682112.1999999;642682112.1999999;642682112.1999999;642682112.1999999;642682112.1999999]
algorithm,Constant-Weights(Gamma-1:3;Gamma-2:3;Gamma-3:3),100,5,1,1,0.24,0.5,objective_value,True,200,19,rand_test_8,20230104:03:41:04,[642682056.0562499;642682056.0562499;642682056.0562499;642682056.0562499;642682056.0562499;642682056.0562499;642682056.0562499;642682056.0562499;642682056.0562499;642682056.0562499]
algorithm,Constant-Weights(Gamma-1:3;Gamma-2:3;Gamma-3:3),100,5,1,1,0.24,0.25,objective_value,True,200,19,rand_test_8,20230104:03:53:53,[642680675.5374999;642680675.5374999;642680675.5374999;642680675.5374999;642680675.5374999;642680675.5374999;642680675.5374999;642680675.5374999;642680675.5374999;642680675.5374999]
algorithm,Constant-Weights(Gamma-1:3;Gamma-2:3;Gamma-3:3),50,5,1,1,0.24,0.5,objective_value,True,200,20,rand_test_8,20230104:04:01:16,[642681788.2187499;642681788.2187499;642681788.2187499;642681788.2187499;642681788.2187499;642681788.2187499;642681788.2187499;642681788.2187499;642681788.2187499;642681788.2187499]
algorithm,Constant-Weights(Gamma-1:3;Gamma-2:3;Gamma-3:3),50,5,1,1,0.24,0.25,objective_value,True,200,20,rand_test_8,20230104:04:08:21,[642682112.1999999;642682112.1999999;642682112.1999999;642682112.1999999;642682112.1999999;642682112.1999999;642682112.1999999;642682112.1999999;642682112.1999999;642682112.1999999]
algorithm,Constant-Weights(Gamma-1:3;Gamma-2:3;Gamma-3:3),100,5,1,1,0.24,0.5,objective_value,True,200,20,rand_test_8,20230104:04:21:58,[642682056.0562499;642682056.0562499;642682056.0562499;642682056.0562499;642682056.0562499;642682056.0562499;642682056.0562499;642682056.0562499;642682056.0562499;642682056.0562499]
algorithm,Constant-Weights(Gamma-1:3;Gamma-2:3;Gamma-3:3),100,5,1,1,0.24,0.25,objective_value,True,200,20,rand_test_8,20230104:04:35:18,[642680675.5374999;642680675.5374999;642680675.5374999;642680675.5374999;642680675.5374999;642680675.5374999;642680675.5374999;642680675.5374999;642680675.5374999;642680675.5374999]
