Instance_Name,Number_Of_Customers,Number_Of_Hotels,Objective_Value,Sum_of_Trips,Penalties,Hotel_Fees,Max_Trip_Length,Number_Of_Trips,Prize,Time,Trace
test,3,2,1280,480,800,0,480,1,1000,1.6927719116210938e-05,[1280, 1280]
test,3,2,1280,480,800,0,480,1,1000,0.0016236305236816406,[1280, 1280, 1280, 1280, 1280, 1280, 1280, 1280, 1280, 1280]
test,3,2,1280,480,800,0,480,1,1000,0.0015115737915039062,[1280, 1280, 1280, 1280, 1280, 1280, 1280, 1280, 1280, 1280]
test,3,2,1280,480,800,0,480,1,1000,0.0014879703521728516,[1280, 1280, 1280, 1280, 1280, 1280, 1280, 1280, 1280, 1280]
test,3,2,1280,480,800,0,480,1,1000,0.0011534690856933594,[1280, 1280, 1280, 1280, 1280, 1280, 1280, 1280, 1280, 1280]
rc101_1,10,2,100303,303,0,100000,227,2,1000,0.0003445148468017578,[100303, 100303],trip_2_opt,Step_Function_Type.FIRST
rc101_1,10,2,100303,303,0,100000,227,2,1000,0.00041985511779785156,[100303, 100303],trip_2_opt,Step_Function_Type.FIRST
rc101_1,10,2,100303,303,0,100000,227,2,1000,0.0003590583801269531,[100303, 100303],trip_2_opt,Step_Function_Type.FIRST
rc101_1,10,2,100303,303,0,100000,227,2,1000,0.0003974437713623047,[100303, 100303],trip_2_opt,Step_Function_Type.FIRST
rc101_1,10,2,100303,303,0,100000,227,2,1000,0.0004172325134277344,[100303, 100303],trip_2_opt,Step_Function_Type.FIRST
pr8_1,30,2,102304,2304,0,100000,1925,2,3000,0.003514528274536133,[102304, 102304],trip_2_opt,Step_Function_Type.FIRST
eil51_1,50,1,539,346,193,0,346,1,584,0.00404047966003418,[539, 539],trip_2_opt,Step_Function_Type.FIRST
berlin51_1,51,10,1112245,12245,0,1100000,1146,12,5100,0.0022051334381103516,[1112245, 1112245],trip_2_opt,Step_Function_Type.FIRST
berlin52_2,51,10,10147,8509,404,1234,1302,7,1372,0.0029230117797851562,[10147, 10147],trip_2_opt,Step_Function_Type.FIRST
berlin52_3,51,10,7955,6150,849,956,1107,7,927,0.0016117095947265625,[7955, 7955],trip_2_opt,Step_Function_Type.FIRST
rc101_2,100,6,701843,1843,0,700000,235,8,10000,0.006585597991943359,[701843, 701843],trip_2_opt,Step_Function_Type.FIRST
rc101_3,100,6,1585,635,684,266,239,3,2218,0.00992727279663086,[1585, 1585],trip_2_opt,Step_Function_Type.FIRST
pr8_2,144,6,408253,8253,0,400000,1986,5,14400,0.025468826293945312,[408253, 408253],trip_2_opt,Step_Function_Type.FIRST
gil250_1,249,1,102115,2115,0,100000,1282,2,9083,0.05037498474121094,[102115, 102115],trip_2_opt,Step_Function_Type.FIRST
gil262_1,249,13,6916,2538,2996,1382,320,9,9110,0.009560585021972656,[6916, 6916],trip_2_opt,Step_Function_Type.FIRST
berlin52_2,51,10,10147,8509,404,1234,1302,7,1372,0.003032207489013672,[10147, 10147],trip_2_opt,Step_Function_Type.FIRST
berlin51_1,51,10,1112245,12245,0,1100000,1146,12,5100,0.002203702926635742,[1112245, 1112245],trip_2_opt,Step_Function_Type.FIRST
berlin52_3,51,10,7955,6150,849,956,1107,7,927,0.0015985965728759766,[7955, 7955],trip_2_opt,Step_Function_Type.FIRST
rc101_2,100,6,701843,1843,0,700000,235,8,10000,0.005850315093994141,[701843, 701843],trip_2_opt,Step_Function_Type.FIRST
rc101_3,100,6,1585,635,684,266,239,3,2218,0.008649587631225586,[1585, 1585],trip_2_opt,Step_Function_Type.FIRST
pr8_2,144,6,408253,8253,0,400000,1986,5,14400,0.027629375457763672,[408253, 408253],trip_2_opt,Step_Function_Type.FIRST
pr8_2,144,6,408253,8253,0,400000,1986,5,14400,0.016775131225585938,[408253, 408253],trip_2_opt,Step_Function_Type.FIRST
test,3,2,1280,480,800,0,480,1,1000,1.0967254638671875e-05,[1280, 1280],trip_2_opt,Step_Function_Type.FIRST
rc101_1,10,2,100303,303,0,100000,227,2,1000,0.0002484321594238281,[100303, 100303],trip_2_opt,Step_Function_Type.FIRST
pr8_1,30,2,102304,2304,0,100000,1925,2,3000,0.002346515655517578,[102304, 102304],trip_2_opt,Step_Function_Type.FIRST
eil51_1,50,1,539,346,193,0,346,1,584,0.0025157928466796875,[539, 539],trip_2_opt,Step_Function_Type.FIRST
berlin51_1,51,10,1112245,12245,0,1100000,1146,12,5100,0.0013260841369628906,[1112245, 1112245],trip_2_opt,Step_Function_Type.FIRST
berlin52_2,51,10,10147,8509,404,1234,1302,7,1372,0.0013604164123535156,[10147, 10147],trip_2_opt,Step_Function_Type.FIRST
berlin52_3,51,10,7955,6150,849,956,1107,7,927,0.001107931137084961,[7955, 7955],trip_2_opt,Step_Function_Type.FIRST
rc101_2,100,6,701843,1843,0,700000,235,8,10000,0.003826618194580078,[701843, 701843],trip_2_opt,Step_Function_Type.FIRST
rc101_3,100,6,1585,635,684,266,239,3,2218,0.005731821060180664,[1585, 1585],trip_2_opt,Step_Function_Type.FIRST
pr8_2,144,6,408253,8253,0,400000,1986,5,14400,0.016643524169921875,[408253, 408253],trip_2_opt,Step_Function_Type.FIRST
gil250_1,249,1,102115,2115,0,100000,1282,2,9083,0.0314488410949707,[102115, 102115],trip_2_opt,Step_Function_Type.FIRST
gil262_1,249,13,6916,2538,2996,1382,320,9,9110,0.0056340694427490234,[6916, 6916],trip_2_opt,Step_Function_Type.FIRST
a280_1,279,10,703965,3965,0,700000,515,8,27900,0.03355836868286133,[703965, 703965],trip_2_opt,Step_Function_Type.FIRST
