Instance_Name,Number_Of_Customers,Number_Of_Hotels,Objective_Value,Sum_of_Trips,Penalties,Hotel_Fees,Max_Trip_Length,Number_Of_Trips,Prize,Time,Trace,Trip_Lengths,Percentate-of-collected-prizes,uses-delta-evaluation
test,3,2,1280,480,800,0,480,1,1000,0.000858306884765625,[1280],[480],0.5,True
rc101_1,10,2,235,235,0,0,235,1,1000,0.015497684478759766,[235],[235],1.0,True
pr8_1,30,2,102304,2304,0,100000,1925,2,3000,0.2194688320159912,[102304],[1925, 379],1.0,True
eil51_1,50,1,523,332,191,0,332,1,586,0.5927140712738037,[523],[332],0.7541827541827542,True
berlin51_1,51,10,1112245,12245,0,1100000,1146,12,5100,2.374880790710449,[1112245],[983, 1099, 808, 1146, 976, 855, 1066, 942, 1087, 1084, 1127, 1072],1.0,True
berlin52_2,51,10,10147,8509,404,1234,1302,7,1372,1.7162110805511475,[10147],[1274, 1096, 1285, 1235, 1265, 1052, 1302],0.7725225225225225,True
berlin52_3,51,10,6741,5008,873,860,1126,5,903,2.2127397060394287,[6741],[1126, 964, 945, 852, 1121],0.5084459459459459,True
rc101_2,100,6,701843,1843,0,700000,235,8,10000,8.367985963821411,[701843],[231, 224, 235, 234, 223, 234, 232, 230],1.0,True
rc101_3,100,6,1585,635,684,266,239,3,2218,6.040845632553101,[1585],[239, 232, 164],0.7643004824259132,True
pr8_2,144,6,307818,7818,0,300000,1999,4,14400,19.057295560836792,[307818],[1999, 1969, 1974, 1876],1.0,True
gil250_1,249,1,102115,2115,0,100000,1282,2,9083,64.64311075210571,[102115],[1282, 833],0.7502891128366099,True
gil262_1,249,13,6916,2538,2996,1382,320,9,9110,90.26473045349121,[6916],[313, 300, 280, 260, 319, 312, 320, 302, 132],0.7525194118618866,True
a280_1,279,10,703965,3965,0,700000,515,8,27900,128.89632320404053,[703965],[507, 506, 480, 510, 510, 515, 462, 475],1.0,True
