Instance_Name,Index,Number_Of_Customers,Number_Of_Hotels,Objective_Value,Sum_of_Trips,Penalties,Hotel_Fees,Max_Trip_Length,Number_Of_Trips,Prize,Time,Trace,procedure-type,alpha,beta,gamma,delta
rand_21,0,289,13,5954,2723,1201,2030,320,9,11321,0.016817569732666016,[5954],2.691632786416364,-1.9027934627498697,0.3246706002523351,-0.1282196212614759
rand_21,1,289,13,6292,3365,1074,1853,320,11,11344,0.008136749267578125,[6292],0.8871563078797776,-1.0146782082284325,-0.19279453178184214,2.1151388887808684
rand_21,2,289,13,6582,3187,1229,2166,319,11,11336,0.008171319961547852,[6582],0.8192798047311609,-1.4689777451683077,0.8568766315442575,0.3960076086385805
rand_21,3,289,13,8343,3705,1219,3419,320,13,11369,0.013679981231689453,[8343],0.7024776500997708,-3.398722482217696,-1.233076495572604,-0.6950254573119561
rand_21,4,289,13,5845,2917,1168,1760,320,10,11337,0.00723576545715332,[5845],0.9396276661767657,-0.9804524609493526,-0.40973376502967346,0.5893664441221469
rand_21,0,289,13,6854,3426,579,2849,319,11,11329,0.01709914207458496,[6854],0.8827914116496308,-0.0060314869025402396,-0.5497811166673637,-0.38257359652916734
rand_21,1,289,13,8983,5190,216,3577,319,18,11361,0.06918048858642578,[8983],0.5661731521151726,0.2500255463000207,-2.958432918143855,0.12101280899620342
rand_21,2,289,13,6682,3454,1163,2065,318,12,11684,0.00892329216003418,[6682],0.781423222076307,-1.3302020143298547,-0.10270201893861358,0.5229233720932102
rand_21,3,289,13,7475,3889,567,3019,319,13,11876,0.01650547981262207,[7475],1.2736729933664002,-0.3492586173324801,-0.5903207719900954,-0.006726892523163497
rand_21,4,289,13,7901,4877,368,2656,320,16,11396,0.01715826988220215,[7901],0.6240373791859927,0.04165535731117331,-0.4991242598201612,2.2363108960475695
rand_21,0,289,13,6139,3374,610,2155,320,11,11373,0.020632028579711914,[6139],1.396732836732219,-0.20375493301319875,0.12124041265361296,0.3561514734576571
rand_21,1,289,13,7693,3850,362,3481,320,13,11772,0.011603355407714844,[7693],1.0445214084219874,1.9261998267589475,-0.21609044762328433,-1.8002662824734887
rand_21,2,289,13,6235,3048,1010,2177,320,10,11364,0.006845235824584961,[6235],1.5805043980577855,-0.938104440799242,-0.019640058622730883,-0.2919533732423477
rand_21,3,289,13,6627,3836,489,2302,317,13,11332,0.021573305130004883,[6627],3.0288436589126375,0.8854757873602457,-0.30161029341178935,2.9675490837489553
rand_21,4,289,13,6402,2889,1066,2447,320,10,11424,0.01656627655029297,[6402],1.253641127304902,-0.21691793947472493,-0.38330755271088235,-0.5620469745117078
rand_21,0,289,13,9023,5326,572,3125,320,18,11332,0.02503490447998047,[9023],0.3519927266887639,0.342910720171399,0.8081974180876872,0.4146365226230828
rand_21,1,289,13,6391,3306,1145,1940,320,11,11354,0.007967472076416016,[6391],1.3230710904405774,-1.7604044711216407,-1.1727814811476138,1.077952358667367
rand_21,2,289,13,7018,4153,483,2382,320,14,11493,0.0193789005279541,[7018],1.1902096135003108,0.025242225697362675,0.3622371288238736,2.7476099869537327
rand_21,3,289,13,6942,3738,992,2212,319,13,11356,0.018248796463012695,[6942],0.7004640876717041,-0.5691810557788576,-1.6491575099007323,1.226990022751837
rand_21,4,289,13,7727,4138,328,3261,320,14,12351,0.0194244384765625,[7727],2.468720420423706,2.10461218877315,-0.5188015118189339,0.130976284995292
rand_21,0,289,13,7030,3664,505,2861,318,12,11332,0.018805265426635742,[7030],1.3982695089712744,-0.27117894027282263,-0.7670596462533446,-0.026313559203066217
rand_21,1,289,13,6235,3185,1143,1907,320,11,11333,0.008208036422729492,[6235],2.306322420416479,-1.1362716586110615,1.1110107809851446,1.7935353875544364
rand_21,2,289,13,7759,4230,427,3102,319,14,11322,0.00875234603881836,[7759],1.2203784103629802,0.36299297133116704,-2.19867535072944,0.07352427540998019
rand_21,3,289,13,7323,3702,427,3194,320,12,11333,0.00929570198059082,[7323],0.8637533222418496,1.200760427553011,-0.3703169437270505,-1.1601802262564662
rand_21,4,289,13,5895,2974,969,1952,319,10,11329,0.007594108581542969,[5895],1.979978352362075,-0.8505461841386669,-1.0230937869638104,0.8218998992114475
