type,saw_policy,percentage_replaced,population_size,neighborhoods,tournament_k,random_k,termination_criterion,alpha,beta,gamma,delta,iteration,instance,starting-time,fitness
algorithm,Constant-Weights(Gamma-1:3;Gamma-2:3;Gamma-3:3),0.4,100,[trip_2_opt;remove_customer;add_customer;remove_hotel;add_hotel;],81,5,400,0.5,-1.0,-0.5,0.5,0,rand_test_13,20230103:15:26:08,[598173292.25;598160219.9375;598638551.4375;598110096.875;598127520.5625;598385008.4375;598144244.6875;598748827.5625;598185399.1875;599201290.3125]
algorithm,Constant-Weights(Gamma-1:3;Gamma-2:3;Gamma-3:3),0.4,100,[trip_2_opt;remove_customer;add_customer;remove_hotel;add_hotel;],95,5,400,0.5,-1.0,-0.5,0.5,0,rand_test_13,20230103:15:36:13,[599116942.6875;597557541.9375;597650515.375;598267940.1875;597838866.375;598351524.875;598769341.625;597555151.3125;597764529.875;598272954.0]
algorithm,Constant-Weights(Gamma-1:3;Gamma-2:3;Gamma-3:3),0.9,100,[trip_2_opt;remove_customer;add_customer;remove_hotel;add_hotel;],27,5,400,0.5,-1.0,-0.5,0.5,0,rand_test_13,20230103:15:46:52,[597826658.9375;597921716.6875;598177409.8125;598161653.0;598276663.0625;598228622.6875;598585462.3125;598051907.375;597608100.6875;597997166.5]
algorithm,Constant-Weights(Gamma-1:3;Gamma-2:3;Gamma-3:3),0.9,100,[trip_2_opt;remove_customer;add_customer;remove_hotel;add_hotel;],50,5,400,0.5,-1.0,-0.5,0.5,0,rand_test_13,20230103:15:57:54,[598599172.25;598137918.5625;598297693.4375;598904751.625;598639894.1875;598314278.8125;598218807.875;598639463.25;598191991.625;597990035.75]
algorithm,Constant-Weights(Gamma-1:3;Gamma-2:3;Gamma-3:3),0.9,100,[trip_2_opt;remove_customer;add_customer;remove_hotel;add_hotel;],81,5,400,0.5,-1.0,-0.5,0.5,0,rand_test_13,20230103:16:07:42,[598302516.0625;599250395.5625;598461622.9375;598134012.125;598806742.8125;598600745.1875;598783343.75;598242496.0625;598415360.25;598142627.3125]
algorithm,Constant-Weights(Gamma-1:3;Gamma-2:3;Gamma-3:3),0.9,100,[trip_2_opt;remove_customer;add_customer;remove_hotel;add_hotel;],95,5,400,0.5,-1.0,-0.5,0.5,0,rand_test_13,20230103:16:18:31,[598713819.375;598080141.4375;598884304.9375;598964649.3125;598087717.5625;598926565.375;598542187.8125;597901798.9375;598265477.5625;598471232.625]
algorithm,Constant-Weights(Gamma-1:3;Gamma-2:3;Gamma-3:3),0.05,100,[trip_2_opt;remove_customer;add_customer;remove_hotel;add_hotel;],27,5,400,0.5,-1.0,-0.5,0.5,1,rand_test_3,20230103:16:29:21,[681719647.55;681993309.31875;682005002.975;682530569.16875;682035921.3125;681950352.81875;682120334.6375;681953759.7375;682293133.13125;682412229.70625]
algorithm,Constant-Weights(Gamma-1:3;Gamma-2:3;Gamma-3:3),0.05,100,[trip_2_opt;remove_customer;add_customer;remove_hotel;add_hotel;],50,5,400,0.5,-1.0,-0.5,0.5,1,rand_test_3,20230103:16:39:29,[682555859.8625;682314586.64375;681782492.75625;682616587.25;682143296.7625;681578378.575;681672305.18125;682311961.38125;682437156.2125;682333134.375]
algorithm,Constant-Weights(Gamma-1:3;Gamma-2:3;Gamma-3:3),0.05,100,[trip_2_opt;remove_customer;add_customer;remove_hotel;add_hotel;],81,5,400,0.5,-1.0,-0.5,0.5,1,rand_test_3,20230103:16:48:26,[682376015.46875;682805621.86875;681992352.59375;682266549.58125;682161260.05625;682174530.25625;682499259.24375;683064069.93125;682647989.39375;682155739.775]
algorithm,Constant-Weights(Gamma-1:3;Gamma-2:3;Gamma-3:3),0.05,100,[trip_2_opt;remove_customer;add_customer;remove_hotel;add_hotel;],95,5,400,0.5,-1.0,-0.5,0.5,1,rand_test_3,20230103:16:58:26,[682336874.4375;682332684.90625;682281293.64375;682789176.33125;682455596.1125;682096612.75625;682812397.925;682329412.2375;682575835.44375;682170417.05625]
