type,saw_policy,percentage_replaced,population_size,neighborhoods,tournament_k,random_k,termination_criterion,alpha,beta,gamma,delta,iteration,instance,starting-time,fitness
algorithm,Constant-Weights(Gamma-1:3;Gamma-2:3;Gamma-3:3),0.4,100,[trip_2_opt;remove_customer;add_customer;remove_hotel;add_hotel;],81,5,400,0.5,-1.0,-0.5,0.5,3,rand_test_3,20230104:01:30:18,[682113323.26875;682856194.0125;681503241.24375;682377220.0375;681689538.3875;682550294.66875;681675933.0625;681797893.75;681531559.0875;682605026.7875]
algorithm,Constant-Weights(Gamma-1:3;Gamma-2:3;Gamma-3:3),0.4,100,[trip_2_opt;remove_customer;add_customer;remove_hotel;add_hotel;],95,5,400,0.5,-1.0,-0.5,0.5,3,rand_test_3,20230104:01:42:23,[681860387.7875;681762119.95;682292984.375;681967655.2875;682243133.4375;682189104.1375;681652447.475;682398783.5;682569925.80625;682591377.45]
algorithm,Constant-Weights(Gamma-1:3;Gamma-2:3;Gamma-3:3),0.9,100,[trip_2_opt;remove_customer;add_customer;remove_hotel;add_hotel;],27,5,400,0.5,-1.0,-0.5,0.5,3,rand_test_3,20230104:01:53:20,[682345249.325;681947502.80625;681890070.525;681999405.85;681851350.175;682517640.58125;681856407.9375;682229400.225;682490794.50625;682317499.68125]
algorithm,Constant-Weights(Gamma-1:3;Gamma-2:3;Gamma-3:3),0.9,100,[trip_2_opt;remove_customer;add_customer;remove_hotel;add_hotel;],50,5,400,0.5,-1.0,-0.5,0.5,3,rand_test_3,20230104:02:05:55,[682153016.16875;682486290.19375;681413199.4875;681712145.3875;682108424.93125;682045397.50625;681771079.1625;682454436.28125;682197682.25;682526752.63125]
algorithm,Constant-Weights(Gamma-1:3;Gamma-2:3;Gamma-3:3),0.9,100,[trip_2_opt;remove_customer;add_customer;remove_hotel;add_hotel;],81,5,400,0.5,-1.0,-0.5,0.5,3,rand_test_3,20230104:02:17:30,[682663428.5375;682536035.44375;682393223.40625;681657967.725;682602386.49375;682504284.9625;681908575.025;682412373.54375;682497497.03125;682385154.2625]
algorithm,Constant-Weights(Gamma-1:3;Gamma-2:3;Gamma-3:3),0.9,100,[trip_2_opt;remove_customer;add_customer;remove_hotel;add_hotel;],95,5,400,0.5,-1.0,-0.5,0.5,3,rand_test_3,20230104:02:29:23,[682649054.9875;682899673.7;682278615.06875;682583465.7;682065176.94375;682002894.16875;682742954.675;682363989.03125;681999360.8125;682505498.06875]
algorithm,Constant-Weights(Gamma-1:3;Gamma-2:3;Gamma-3:3),0.05,100,[trip_2_opt;remove_customer;add_customer;remove_hotel;add_hotel;],27,5,400,0.5,-1.0,-0.5,0.5,4,rand_test_7,20230104:02:39:51,[817542039.9000001;818298027.3000001;818184616.0;817851437.7;818301571.5;818205559.3000001;817304316.1;818124651.3000001;818230848.1;818094504.7]
algorithm,Constant-Weights(Gamma-1:3;Gamma-2:3;Gamma-3:3),0.05,100,[trip_2_opt;remove_customer;add_customer;remove_hotel;add_hotel;],50,5,400,0.5,-1.0,-0.5,0.5,4,rand_test_7,20230104:02:52:12,[818003366.8000001;818247628.7;818302418.8000001;818134627.7;818333083.4000001;818684355.0;818171480.1;818364000.9000001;818235478.0;818365665.8000001]
algorithm,Constant-Weights(Gamma-1:3;Gamma-2:3;Gamma-3:3),0.05,100,[trip_2_opt;remove_customer;add_customer;remove_hotel;add_hotel;],81,5,400,0.5,-1.0,-0.5,0.5,4,rand_test_7,20230104:03:05:01,[817916599.7;818403145.2;818910324.3000001;818599314.9000001;818406735.1;818271943.1;817993575.8000001;818324719.5;818686896.8000001;819078536.4000001]
algorithm,Constant-Weights(Gamma-1:3;Gamma-2:3;Gamma-3:3),0.05,100,[trip_2_opt;remove_customer;add_customer;remove_hotel;add_hotel;],95,5,400,0.5,-1.0,-0.5,0.5,4,rand_test_7,20230104:03:16:11,[818543764.2;818168472.4000001;817936706.2;818070035.5;818338412.6;818188948.9000001;818721352.4000001;818013591.6;818405116.7;818520054.2]
algorithm,Constant-Weights(Gamma-1:3;Gamma-2:3;Gamma-3:3),0.1,100,[trip_2_opt;remove_customer;add_customer;remove_hotel;add_hotel;],27,5,400,0.5,-1.0,-0.5,0.5,4,rand_test_7,20230104:03:27:36,[818078476.1;818465017.8000001;818027105.6;818116538.6;817971855.8000001;817999531.0;818401912.6;818149407.4000001;818028981.8000001;818158606.7]
algorithm,Constant-Weights(Gamma-1:3;Gamma-2:3;Gamma-3:3),0.1,100,[trip_2_opt;remove_customer;add_customer;remove_hotel;add_hotel;],50,5,400,0.5,-1.0,-0.5,0.5,4,rand_test_7,20230104:03:39:00,[818173572.5;817523887.2;818464335.9000001;818887231.0;817916122.5;818497417.7;818404244.1;818429699.4000001;818102537.7;818437423.2]
algorithm,Constant-Weights(Gamma-1:3;Gamma-2:3;Gamma-3:3),0.1,100,[trip_2_opt;remove_customer;add_customer;remove_hotel;add_hotel;],81,5,400,0.5,-1.0,-0.5,0.5,4,rand_test_7,20230104:03:53:11,[818546947.9000001;818693132.4000001;818730517.1;818992118.8000001;818449559.9000001;818536872.4000001;818375972.8000001;818454839.7;818226059.5;818929588.1]
algorithm,Constant-Weights(Gamma-1:3;Gamma-2:3;Gamma-3:3),0.1,100,[trip_2_opt;remove_customer;add_customer;remove_hotel;add_hotel;],95,5,400,0.5,-1.0,-0.5,0.5,4,rand_test_7,20230104:04:04:57,[818986798.3000001;819077874.0;818386979.4000001;818165183.9000001;817516298.2;818355485.3000001;818072835.5;817992558.7;818479086.6;818252396.9000001]
algorithm,Constant-Weights(Gamma-1:3;Gamma-2:3;Gamma-3:3),0.2,100,[trip_2_opt;remove_customer;add_customer;remove_hotel;add_hotel;],27,5,400,0.5,-1.0,-0.5,0.5,4,rand_test_7,20230104:04:15:27,[817702935.8000001;818357725.2;818324065.0;817526097.0;818297245.5;818076268.6;818310705.6;817996624.6;817752127.9000001;818689376.7]
algorithm,Constant-Weights(Gamma-1:3;Gamma-2:3;Gamma-3:3),0.2,100,[trip_2_opt;remove_customer;add_customer;remove_hotel;add_hotel;],50,5,400,0.5,-1.0,-0.5,0.5,4,rand_test_7,20230104:04:26:38,[818738875.3000001;816922656.6;818361066.4000001;818522998.2;818558385.5;818001091.6;818510968.2;817820033.7;818073392.5;818498552.2]
algorithm,Constant-Weights(Gamma-1:3;Gamma-2:3;Gamma-3:3),0.2,100,[trip_2_opt;remove_customer;add_customer;remove_hotel;add_hotel;],81,5,400,0.5,-1.0,-0.5,0.5,4,rand_test_7,20230104:04:37:45,[818044834.6;818051059.5;818425749.5;818365739.0;818452161.7;818565375.5;818744176.4000001;818483879.6;818275292.9000001;818659226.6]
algorithm,Constant-Weights(Gamma-1:3;Gamma-2:3;Gamma-3:3),0.2,100,[trip_2_opt;remove_customer;add_customer;remove_hotel;add_hotel;],95,5,400,0.5,-1.0,-0.5,0.5,4,rand_test_7,20230104:04:48:23,[818339503.8000001;818308338.5;817881557.8000001;818723564.0;818327651.9000001;818535803.8000001;817925152.2;818572763.0;818025021.1;818231068.5]
algorithm,Constant-Weights(Gamma-1:3;Gamma-2:3;Gamma-3:3),0.4,100,[trip_2_opt;remove_customer;add_customer;remove_hotel;add_hotel;],50,5,400,0.5,-1.0,-0.5,0.5,4,rand_test_7,20230104:04:59:34,[817864930.7;818457877.3000001;817867885.6;818395685.2;818246668.6;818197702.2;818839943.8000001;817714212.9000001;818240042.7;817195403.1]
algorithm,Constant-Weights(Gamma-1:3;Gamma-2:3;Gamma-3:3),0.4,100,[trip_2_opt;remove_customer;add_customer;remove_hotel;add_hotel;],81,5,400,0.5,-1.0,-0.5,0.5,4,rand_test_7,20230104:05:09:35,[818613973.8000001;817307421.2;818578233.5;818179466.4000001;817869668.6;818688977.5;817739229.3000001;817547883.9000001;818451167.3000001;818512809.2]
algorithm,Constant-Weights(Gamma-1:3;Gamma-2:3;Gamma-3:3),0.4,100,[trip_2_opt;remove_customer;add_customer;remove_hotel;add_hotel;],95,5,400,0.5,-1.0,-0.5,0.5,4,rand_test_7,20230104:05:19:57,[817896826.5;817981529.5;818268253.8000001;817974123.3000001;819052535.8000001;818177780.6;818006712.3000001;817449029.1;818314442.2;818085869.7]
algorithm,Constant-Weights(Gamma-1:3;Gamma-2:3;Gamma-3:3),0.9,100,[trip_2_opt;remove_customer;add_customer;remove_hotel;add_hotel;],27,5,400,0.5,-1.0,-0.5,0.5,4,rand_test_7,20230104:05:28:25,[817459604.8000001;817666749.0;818399803.3000001;817783516.5;817745986.5;818116294.6;817503664.9000001;818384392.5;818153861.5;817642817.4000001]
algorithm,Constant-Weights(Gamma-1:3;Gamma-2:3;Gamma-3:3),0.9,100,[trip_2_opt;remove_customer;add_customer;remove_hotel;add_hotel;],50,5,400,0.5,-1.0,-0.5,0.5,4,rand_test_7,20230104:05:36:25,[818527096.3000001;818458403.8000001;817982332.0;818254634.9000001;818122858.1;817297306.0;817646683.3000001;818349534.7;818644415.8000001;818491567.3000001]
algorithm,Constant-Weights(Gamma-1:3;Gamma-2:3;Gamma-3:3),0.9,100,[trip_2_opt;remove_customer;add_customer;remove_hotel;add_hotel;],81,5,400,0.5,-1.0,-0.5,0.5,4,rand_test_7,20230104:05:47:44,[818456451.0;818241746.8000001;818487024.0;818416398.2;818022510.9000001;817875337.4000001;817708809.3000001;818148933.1;818126932.1;817901532.8000001]
algorithm,Constant-Weights(Gamma-1:3;Gamma-2:3;Gamma-3:3),0.9,100,[trip_2_opt;remove_customer;add_customer;remove_hotel;add_hotel;],95,5,400,0.5,-1.0,-0.5,0.5,4,rand_test_7,20230104:05:59:10,[817703488.0;818151286.0;818029948.8000001;817752245.7;818568442.0;818028463.8000001;817628423.4000001;818348570.7;818427295.9000001;818100900.2]
algorithm,Constant-Weights(Gamma-1:3;Gamma-2:3;Gamma-3:3),0.05,100,[trip_2_opt;remove_customer;add_customer;remove_hotel;add_hotel;],50,5,400,0.5,-1.0,-0.5,0.5,5,rand_test_1,20230104:06:09:24,[588736565.8125;589163514.28125;589488877.84375;589318635.4375;588979785.96875;588748111.96875;589876701.625;589182813.09375;589153698.5625;589191342.875]
algorithm,Constant-Weights(Gamma-1:3;Gamma-2:3;Gamma-3:3),0.05,100,[trip_2_opt;remove_customer;add_customer;remove_hotel;add_hotel;],81,5,400,0.5,-1.0,-0.5,0.5,5,rand_test_1,20230104:06:21:55,[589346349.5;589710822.1875;589131229.40625;589836494.71875;589671609.40625;589932640.125;589096802.6875;589631716.65625;589694627.5;588878518.96875]
algorithm,Constant-Weights(Gamma-1:3;Gamma-2:3;Gamma-3:3),0.05,100,[trip_2_opt;remove_customer;add_customer;remove_hotel;add_hotel;],95,5,400,0.5,-1.0,-0.5,0.5,5,rand_test_1,20230104:06:36:11,[590788874.28125;589810274.65625;589431625.4375;589455033.03125;589896902.53125;589360317.71875;589516471.125;589601802.46875;589755140.84375;589204882.28125]
algorithm,Constant-Weights(Gamma-1:3;Gamma-2:3;Gamma-3:3),0.1,100,[trip_2_opt;remove_customer;add_customer;remove_hotel;add_hotel;],27,5,400,0.5,-1.0,-0.5,0.5,5,rand_test_1,20230104:06:55:45,[588802735.5;589582333.53125;588658651.15625;589749942.1875;589203879.6875;588996556.96875;589000872.1875;589155195.125;588945261.28125;589268329.75]
algorithm,Constant-Weights(Gamma-1:3;Gamma-2:3;Gamma-3:3),0.1,100,[trip_2_opt;remove_customer;add_customer;remove_hotel;add_hotel;],50,5,400,0.5,-1.0,-0.5,0.5,5,rand_test_1,20230104:07:07:24,[589762544.0;589529300.90625;589229648.34375;590127470.75;589125446.8125;589398450.5625;590094700.15625;589508918.1875;589248297.28125;588457569.15625]
algorithm,Constant-Weights(Gamma-1:3;Gamma-2:3;Gamma-3:3),0.1,100,[trip_2_opt;remove_customer;add_customer;remove_hotel;add_hotel;],81,5,400,0.5,-1.0,-0.5,0.5,5,rand_test_1,20230104:07:18:26,[590187978.75;589112293.34375;589788375.5625;589723908.84375;589495680.125;589916945.0625;589887045.875;590133654.75;589214087.21875;590275249.21875]
algorithm,Constant-Weights(Gamma-1:3;Gamma-2:3;Gamma-3:3),0.1,100,[trip_2_opt;remove_customer;add_customer;remove_hotel;add_hotel;],95,5,400,0.5,-1.0,-0.5,0.5,5,rand_test_1,20230104:07:29:39,[589832254.21875;589883249.28125;589494788.28125;588797347.4375;589746119.03125;590126082.625;589946074.9375;589502400.375;589574290.625;589846251.6875]
algorithm,Constant-Weights(Gamma-1:3;Gamma-2:3;Gamma-3:3),0.2,100,[trip_2_opt;remove_customer;add_customer;remove_hotel;add_hotel;],27,5,400,0.5,-1.0,-0.5,0.5,5,rand_test_1,20230104:07:41:28,[589494579.75;589204848.71875;589419562.125;589492878.59375;588734540.65625;588813019.125;589567807.0625;589114814.25;589665680.5625;590547056.0625]
algorithm,Constant-Weights(Gamma-1:3;Gamma-2:3;Gamma-3:3),0.2,100,[trip_2_opt;remove_customer;add_customer;remove_hotel;add_hotel;],50,5,400,0.5,-1.0,-0.5,0.5,5,rand_test_1,20230104:07:54:20,[589251360.40625;589609777.21875;589406891.5625;589024099.625;589459779.375;589242854.46875;589524575.4375;589533873.34375;589645130.28125;589345863.25]
algorithm,Constant-Weights(Gamma-1:3;Gamma-2:3;Gamma-3:3),0.2,100,[trip_2_opt;remove_customer;add_customer;remove_hotel;add_hotel;],81,5,400,0.5,-1.0,-0.5,0.5,5,rand_test_1,20230104:08:05:59,[590624711.8125;589625131.25;590260582.46875;589676301.21875;590052852.03125;590037979.65625;590309964.90625;589918003.09375;590012694.75;589376773.3125]
algorithm,Constant-Weights(Gamma-1:3;Gamma-2:3;Gamma-3:3),0.2,100,[trip_2_opt;remove_customer;add_customer;remove_hotel;add_hotel;],95,5,400,0.5,-1.0,-0.5,0.5,5,rand_test_1,20230104:08:16:50,[589962276.3125;589468217.03125;589883830.40625;589441806.4375;590210747.5625;589845883.1875;590287085.375;589923569.5625;589502408.59375;589814101.78125]
algorithm,Constant-Weights(Gamma-1:3;Gamma-2:3;Gamma-3:3),0.4,100,[trip_2_opt;remove_customer;add_customer;remove_hotel;add_hotel;],50,5,400,0.5,-1.0,-0.5,0.5,5,rand_test_1,20230104:08:26:58,[589337331.375;589704016.75;589561928.1875;588811806.1875;590221194.6875;590174832.1875;589329144.28125;589192571.78125;589861307.21875;589755038.5]
algorithm,Constant-Weights(Gamma-1:3;Gamma-2:3;Gamma-3:3),0.4,100,[trip_2_opt;remove_customer;add_customer;remove_hotel;add_hotel;],81,5,400,0.5,-1.0,-0.5,0.5,5,rand_test_1,20230104:08:38:23,[589347288.15625;589824231.34375;589660773.3125;590477875.5625;589169652.9375;589706267.46875;589216458.28125;589973427.84375;589274935.25;588817452.40625]
algorithm,Constant-Weights(Gamma-1:3;Gamma-2:3;Gamma-3:3),0.4,100,[trip_2_opt;remove_customer;add_customer;remove_hotel;add_hotel;],95,5,400,0.5,-1.0,-0.5,0.5,5,rand_test_1,20230104:08:49:18,[589432425.875;589908221.21875;590467413.65625;589862171.65625;589224687.1875;589273906.28125;589727146.875;589816173.0;589970995.75;589268066.65625]
algorithm,Constant-Weights(Gamma-1:3;Gamma-2:3;Gamma-3:3),0.9,100,[trip_2_opt;remove_customer;add_customer;remove_hotel;add_hotel;],50,5,400,0.5,-1.0,-0.5,0.5,5,rand_test_1,20230104:09:00:21,[589502441.0625;589699976.90625;589497589.40625;589564265.71875;590158547.09375;589863147.84375;588847470.78125;590019563.84375;589417543.34375;589157306.375]
algorithm,Constant-Weights(Gamma-1:3;Gamma-2:3;Gamma-3:3),0.9,100,[trip_2_opt;remove_customer;add_customer;remove_hotel;add_hotel;],81,5,400,0.5,-1.0,-0.5,0.5,5,rand_test_1,20230104:09:15:24,[589320576.375;588882729.59375;589097513.53125;589118056.28125;590074760.96875;589780073.9375;590077540.78125;590320688.53125;590188575.125;589464723.0]
algorithm,Constant-Weights(Gamma-1:3;Gamma-2:3;Gamma-3:3),0.9,100,[trip_2_opt;remove_customer;add_customer;remove_hotel;add_hotel;],95,5,400,0.5,-1.0,-0.5,0.5,5,rand_test_1,20230104:09:29:31,[589829992.84375;590096651.9375;589488718.8125;589505998.625;589773845.90625;589845691.25;589512023.59375;589854828.0625;589607010.15625;589372971.0]
algorithm,Constant-Weights(Gamma-1:3;Gamma-2:3;Gamma-3:3),0.05,100,[trip_2_opt;remove_customer;add_customer;remove_hotel;add_hotel;],81,5,400,0.5,-1.0,-0.5,0.5,6,rand_test_9,20230104:09:40:42,[1562935378.425;1563412966.0125;1563345248.3125;1563406695.64375;1563935322.8125;1564052085.1;1563351934.575;1563750152.7;1563836567.65625;1563814933.25]
algorithm,Constant-Weights(Gamma-1:3;Gamma-2:3;Gamma-3:3),0.05,100,[trip_2_opt;remove_customer;add_customer;remove_hotel;add_hotel;],95,5,400,0.5,-1.0,-0.5,0.5,6,rand_test_9,20230104:09:51:36,[1563280455.14375;1563840060.7625;1563907940.375;1563803950.85625;1563663819.21875;1564019327.18125;1564012207.4;1563567142.2375;1563448441.30625;1564182966.8875]
algorithm,Constant-Weights(Gamma-1:3;Gamma-2:3;Gamma-3:3),0.1,100,[trip_2_opt;remove_customer;add_customer;remove_hotel;add_hotel;],50,5,400,0.5,-1.0,-0.5,0.5,6,rand_test_9,20230104:10:02:20,[1563291585.89375;1563573209.86875;1563827329.6875;1563212491.05;1564166557.475;1563584196.4625;1563160825.6875;1563753784.50625;1563309296.075;1563855268.13125]
algorithm,Constant-Weights(Gamma-1:3;Gamma-2:3;Gamma-3:3),0.1,100,[trip_2_opt;remove_customer;add_customer;remove_hotel;add_hotel;],81,5,400,0.5,-1.0,-0.5,0.5,6,rand_test_9,20230104:10:13:29,[1563649887.2125;1562889125.1125;1563401201.31875;1562863416.6875;1563712679.0375;1563339705.19375;1563204436.55625;1563396345.36875;1563974856.9625;1563801802.13125]
algorithm,Constant-Weights(Gamma-1:3;Gamma-2:3;Gamma-3:3),0.1,100,[trip_2_opt;remove_customer;add_customer;remove_hotel;add_hotel;],95,5,400,0.5,-1.0,-0.5,0.5,6,rand_test_9,20230104:10:23:07,[1563377400.4;1564056847.7;1563461945.3625;1562976841.6125;1563524179.175;1564006362.11875;1563244602.89375;1563357103.0375;1563523831.11875;1563924104.86875]
algorithm,Constant-Weights(Gamma-1:3;Gamma-2:3;Gamma-3:3),0.2,100,[trip_2_opt;remove_customer;add_customer;remove_hotel;add_hotel;],27,5,400,0.5,-1.0,-0.5,0.5,6,rand_test_9,20230104:10:34:54,[1563238454.9625;1563498834.81875;1562978153.3125;1563706500.1;1563237879.54375;1563205978.16875;1563774727.43125;1563716587.29375;1563641620.75625;1563189001.65]
algorithm,Constant-Weights(Gamma-1:3;Gamma-2:3;Gamma-3:3),0.2,100,[trip_2_opt;remove_customer;add_customer;remove_hotel;add_hotel;],50,5,400,0.5,-1.0,-0.5,0.5,6,rand_test_9,20230104:10:46:38,[1563552670.9875;1563465144.6125;1563063289.95;1563941943.7375;1563296180.58125;1563178442.70625;1563963204.28125;1563860177.0375;1563722564.50625;1563530694.31875]
algorithm,Constant-Weights(Gamma-1:3;Gamma-2:3;Gamma-3:3),0.2,100,[trip_2_opt;remove_customer;add_customer;remove_hotel;add_hotel;],81,5,400,0.5,-1.0,-0.5,0.5,6,rand_test_9,20230104:10:57:22,[1564218218.35;1564091648.5875;1563452121.75625;1563962277.10625;1564098869.7375;1563568985.4375;1563863927.25;1563853616.99375;1563701206.3375;1563779852.84375]
algorithm,Constant-Weights(Gamma-1:3;Gamma-2:3;Gamma-3:3),0.2,100,[trip_2_opt;remove_customer;add_customer;remove_hotel;add_hotel;],95,5,400,0.5,-1.0,-0.5,0.5,6,rand_test_9,20230104:11:09:59,[1562838389.525;1563619194.8125;1564250079.6875;1563121268.95625;1563455337.36875;1564216924.025;1563930450.075;1563711139.2;1563571606.98125;1563831092.825]
algorithm,Constant-Weights(Gamma-1:3;Gamma-2:3;Gamma-3:3),0.4,100,[trip_2_opt;remove_customer;add_customer;remove_hotel;add_hotel;],50,5,400,0.5,-1.0,-0.5,0.5,6,rand_test_9,20230104:11:21:40,[1563303788.31875;1563546646.4;1564038497.50625;1563714468.25625;1563462363.5875;1563331365.4125;1563564662.29375;1563703168.6375;1563671462.3625;1563368546.675]
algorithm,Constant-Weights(Gamma-1:3;Gamma-2:3;Gamma-3:3),0.4,100,[trip_2_opt;remove_customer;add_customer;remove_hotel;add_hotel;],81,5,400,0.5,-1.0,-0.5,0.5,6,rand_test_9,20230104:11:32:17,[1564220460.9375;1563591333.9875;1563783749.51875;1563398449.55;1563169738.86875;1563767057.25625;1563144545.16875;1563685280.96875;1563119813.94375;1563183125.89375]
algorithm,Constant-Weights(Gamma-1:3;Gamma-2:3;Gamma-3:3),0.4,100,[trip_2_opt;remove_customer;add_customer;remove_hotel;add_hotel;],95,5,400,0.5,-1.0,-0.5,0.5,6,rand_test_9,20230104:11:43:20,[1563200449.96875;1563463188.6;1563657910.85625;1563900118.55;1563870293.44375;1563858134.1125;1563391383.1875;1563627215.375;1564025242.025;1563745353.65625]
algorithm,Constant-Weights(Gamma-1:3;Gamma-2:3;Gamma-3:3),0.9,100,[trip_2_opt;remove_customer;add_customer;remove_hotel;add_hotel;],50,5,400,0.5,-1.0,-0.5,0.5,6,rand_test_9,20230104:11:54:45,[1563347094.85625;1563704223.9375;1563719694.56875;1563217479.2625;1563628566.65;1563728617.3125;1563768277.175;1563893869.36875;1563924379.06875;1563559349.28125]
algorithm,Constant-Weights(Gamma-1:3;Gamma-2:3;Gamma-3:3),0.9,100,[trip_2_opt;remove_customer;add_customer;remove_hotel;add_hotel;],81,5,400,0.5,-1.0,-0.5,0.5,6,rand_test_9,20230104:12:04:25,[1563462556.03125;1563249516.46875;1563485938.975;1563632772.9125;1563818718.1625;1563925986.7;1563524972.575;1563963113.7;1563543818.23125;1563673702.0125]
algorithm,Constant-Weights(Gamma-1:3;Gamma-2:3;Gamma-3:3),0.9,100,[trip_2_opt;remove_customer;add_customer;remove_hotel;add_hotel;],95,5,400,0.5,-1.0,-0.5,0.5,6,rand_test_9,20230104:12:13:54,[1563506893.33125;1564163891.96875;1563588483.4875;1563729510.1375;1563115956.325;1564072647.6;1563815677.4125;1563326017.48125;1563631153.1125;1563945261.68125]
