Instance_Name,Index,Number_Of_Customers,Number_Of_Hotels,Objective_Value,Sum_of_Trips,Penalties,Hotel_Fees,Max_Trip_Length,Number_Of_Trips,Prize,Time,Trace
rc101_1,47,10,2,100405,405,0,100000,203,2,1000,0.00041985511779785156,[100405]
rc101_1,48,10,2,100458,458,0,100000,235,2,1000,0.0003895759582519531,[100458]
rc101_1,49,10,2,100318,318,0,100000,223,2,1000,0.0004284381866455078,[100318]
pr8_1,0,30,2,102611,2611,0,100000,1996,2,3000,0.0014495849609375,[102611]
pr8_1,1,30,2,102906,2906,0,100000,1996,2,3000,0.0009565353393554688,[102906]
pr8_1,2,30,2,306877,6877,0,300000,1897,4,3000,0.0012269020080566406,[306877]
pr8_1,3,30,2,102713,2713,0,100000,1921,2,3000,0.0012364387512207031,[102713]
pr8_1,4,30,2,102582,2582,0,100000,1984,2,3000,0.0009334087371826172,[102582]
pr8_1,5,30,2,102980,2980,0,100000,1896,2,3000,0.0010669231414794922,[102980]
pr8_1,6,30,2,102949,2949,0,100000,1953,2,3000,0.001207113265991211,[102949]
pr8_1,7,30,2,306983,6983,0,300000,1873,4,3000,0.0014090538024902344,[306983]
pr8_1,8,30,2,102810,2810,0,100000,1988,2,3000,0.0009379386901855469,[102810]
pr8_1,9,30,2,102672,2672,0,100000,1985,2,3000,0.0009315013885498047,[102672]
pr8_1,10,30,2,102991,2991,0,100000,1895,2,3000,0.00101470947265625,[102991]
pr8_1,11,30,2,102658,2658,0,100000,1935,2,3000,0.0010998249053955078,[102658]
pr8_1,12,30,2,102574,2574,0,100000,1999,2,3000,0.0009417533874511719,[102574]
pr8_1,13,30,2,102668,2668,0,100000,1960,2,3000,0.0011730194091796875,[102668]
pr8_1,14,30,2,102751,2751,0,100000,1888,2,3000,0.0009441375732421875,[102751]
pr8_1,15,30,2,102934,2934,0,100000,1996,2,3000,0.0009772777557373047,[102934]
pr8_1,16,30,2,102520,2520,0,100000,1967,2,3000,0.0009136199951171875,[102520]
pr8_1,17,30,2,307031,7031,0,300000,1895,4,3000,0.0012269020080566406,[307031]
pr8_1,18,30,2,307169,7169,0,300000,1903,4,3000,0.0012085437774658203,[307169]
pr8_1,19,30,2,102714,2714,0,100000,1861,2,3000,0.0009603500366210938,[102714]
pr8_1,20,30,2,102743,2743,0,100000,1967,2,3000,0.0009670257568359375,[102743]
pr8_1,21,30,2,102631,2631,0,100000,1817,2,3000,0.0009903907775878906,[102631]
pr8_1,22,30,2,102816,2816,0,100000,1918,2,3000,0.0009768009185791016,[102816]
pr8_1,23,30,2,102631,2631,0,100000,1957,2,3000,0.0009605884552001953,[102631]
pr8_1,24,30,2,307137,7137,0,300000,2000,4,3000,0.0011529922485351562,[307137]
pr8_1,25,30,2,102821,2821,0,100000,1953,2,3000,0.0009829998016357422,[102821]
pr8_1,26,30,2,102728,2728,0,100000,1989,2,3000,0.000934600830078125,[102728]
pr8_1,27,30,2,102838,2838,0,100000,1952,2,3000,0.0010883808135986328,[102838]
pr8_1,28,30,2,102498,2498,0,100000,1968,2,3000,0.0009140968322753906,[102498]
pr8_1,29,30,2,102906,2906,0,100000,1982,2,3000,0.0010538101196289062,[102906]
pr8_1,30,30,2,102666,2666,0,100000,1842,2,3000,0.0009720325469970703,[102666]
pr8_1,31,30,2,102879,2879,0,100000,1844,2,3000,0.0009806156158447266,[102879]
pr8_1,32,30,2,307098,7098,0,300000,1981,4,3000,0.0012698173522949219,[307098]
pr8_1,33,30,2,102931,2931,0,100000,1918,2,3000,0.0009794235229492188,[102931]
pr8_1,34,30,2,102505,2505,0,100000,1954,2,3000,0.0010766983032226562,[102505]
pr8_1,35,30,2,102650,2650,0,100000,1896,2,3000,0.0009446144104003906,[102650]
pr8_1,36,30,2,102640,2640,0,100000,1860,2,3000,0.0009946823120117188,[102640]
pr8_1,37,30,2,306807,6807,0,300000,1999,4,3000,0.0011734962463378906,[306807]
pr8_1,38,30,2,102757,2757,0,100000,1986,2,3000,0.0009679794311523438,[102757]
pr8_1,39,30,2,102852,2852,0,100000,1946,2,3000,0.001119852066040039,[102852]
pr8_1,40,30,2,102818,2818,0,100000,1959,2,3000,0.0009372234344482422,[102818]
pr8_1,41,30,2,307066,7066,0,300000,1952,4,3000,0.0012373924255371094,[307066]
pr8_1,42,30,2,307163,7163,0,300000,1923,4,3000,0.0014166831970214844,[307163]
pr8_1,43,30,2,102805,2805,0,100000,1934,2,3000,0.0009620189666748047,[102805]
pr8_1,44,30,2,307008,7008,0,300000,1986,4,3000,0.001201629638671875,[307008]
pr8_1,45,30,2,102692,2692,0,100000,1890,2,3000,0.0009777545928955078,[102692]
pr8_1,46,30,2,102750,2750,0,100000,1908,2,3000,0.000988006591796875,[102750]
pr8_1,47,30,2,102670,2670,0,100000,1980,2,3000,0.000993490219116211,[102670]
pr8_1,48,30,2,306850,6850,0,300000,1930,4,3000,0.0012164115905761719,[306850]
pr8_1,49,30,2,306984,6984,0,300000,1964,4,3000,0.001287221908569336,[306984]
eil51_1,0,50,1,100589,406,183,100000,335,2,594,0.0011775493621826172,[100589]
eil51_1,1,50,1,100642,448,194,100000,343,2,583,0.0012912750244140625,[100642]
eil51_1,2,50,1,200887,709,178,200000,346,3,599,0.0018160343170166016,[200887]
eil51_1,3,50,1,201033,854,179,200000,345,3,598,0.0019631385803222656,[201033]
eil51_1,4,50,1,100797,609,188,100000,321,2,589,0.0012738704681396484,[100797]
eil51_1,5,50,1,100579,410,169,100000,331,2,608,0.0012559890747070312,[100579]
eil51_1,6,50,1,100657,482,175,100000,336,2,602,0.0012233257293701172,[100657]
eil51_1,7,50,1,100674,489,185,100000,347,2,592,0.0013041496276855469,[100674]
eil51_1,8,50,1,100628,446,182,100000,343,2,595,0.0011036396026611328,[100628]
eil51_1,9,50,1,100802,608,194,100000,339,2,583,0.00116729736328125,[100802]
eil51_1,10,50,1,100640,460,180,100000,347,2,597,0.0012063980102539062,[100640]
eil51_1,11,50,1,100712,520,192,100000,344,2,585,0.0012786388397216797,[100712]
eil51_1,12,50,1,100667,474,193,100000,343,2,584,0.0010991096496582031,[100667]
eil51_1,13,50,1,100588,408,180,100000,344,2,597,0.0011250972747802734,[100588]
eil51_1,14,50,1,100773,584,189,100000,341,2,588,0.0014641284942626953,[100773]
eil51_1,15,50,1,100657,479,178,100000,325,2,599,0.0012860298156738281,[100657]
eil51_1,16,50,1,100831,638,193,100000,345,2,584,0.0014226436614990234,[100831]
eil51_1,17,50,1,100694,513,181,100000,339,2,596,0.0011239051818847656,[100694]
eil51_1,18,50,1,540,346,194,0,346,1,583,0.0009107589721679688,[540]
eil51_1,19,50,1,100632,438,194,100000,342,2,583,0.0015795230865478516,[100632]
eil51_1,20,50,1,100582,388,194,100000,347,2,583,0.0010700225830078125,[100582]
eil51_1,21,50,1,200982,800,182,200000,349,3,595,0.0018579959869384766,[200982]
eil51_1,22,50,1,200936,748,188,200000,345,3,589,0.0012466907501220703,[200936]
eil51_1,23,50,1,100605,412,193,100000,347,2,584,0.0011708736419677734,[100605]
eil51_1,24,50,1,100597,416,181,100000,348,2,596,0.0011746883392333984,[100597]
eil51_1,25,50,1,100652,460,192,100000,350,2,585,0.0011513233184814453,[100652]
eil51_1,26,50,1,100610,428,182,100000,350,2,595,0.0015902519226074219,[100610]
eil51_1,27,50,1,100630,447,183,100000,342,2,594,0.0011224746704101562,[100630]
eil51_1,28,50,1,100663,469,194,100000,347,2,583,0.0010890960693359375,[100663]
eil51_1,29,50,1,100701,530,171,100000,348,2,606,0.0013623237609863281,[100701]
eil51_1,30,50,1,100637,452,185,100000,346,2,592,0.0010955333709716797,[100637]
eil51_1,31,50,1,100614,429,185,100000,335,2,592,0.001149892807006836,[100614]
eil51_1,32,50,1,100602,411,191,100000,347,2,586,0.0011060237884521484,[100602]
eil51_1,33,50,1,100698,517,181,100000,348,2,596,0.0014400482177734375,[100698]
eil51_1,34,50,1,100625,438,187,100000,345,2,590,0.0012323856353759766,[100625]
eil51_1,35,50,1,100727,547,180,100000,348,2,597,0.0013890266418457031,[100727]
eil51_1,36,50,1,100585,392,193,100000,348,2,584,0.0011277198791503906,[100585]
eil51_1,37,50,1,100757,569,188,100000,350,2,589,0.0011754035949707031,[100757]
eil51_1,38,50,1,100787,598,189,100000,350,2,588,0.0012514591217041016,[100787]
eil51_1,39,50,1,100762,569,193,100000,330,2,584,0.0014362335205078125,[100762]
eil51_1,40,50,1,100593,403,190,100000,350,2,587,0.001089334487915039,[100593]
eil51_1,41,50,1,100650,464,186,100000,341,2,591,0.0011036396026611328,[100650]
eil51_1,42,50,1,100713,528,185,100000,332,2,592,0.0013582706451416016,[100713]
eil51_1,43,50,1,100680,486,194,100000,337,2,583,0.0011343955993652344,[100680]
eil51_1,44,50,1,100683,495,188,100000,341,2,589,0.0011608600616455078,[100683]
eil51_1,45,50,1,201139,956,183,200000,331,3,594,0.002035856246948242,[201139]
eil51_1,46,50,1,100639,445,194,100000,324,2,583,0.0011186599731445312,[100639]
eil51_1,47,50,1,100790,597,193,100000,319,2,584,0.0014548301696777344,[100790]
eil51_1,48,50,1,100611,420,191,100000,338,2,586,0.0010557174682617188,[100611]
eil51_1,49,50,1,100601,407,194,100000,339,2,583,0.0011169910430908203,[100601]
berlin51_1,0,51,10,1313855,13855,0,1300000,1146,14,5100,0.007704257965087891,[1313855]
berlin51_1,1,51,10,1314003,14003,0,1300000,1141,14,5100,0.0030820369720458984,[1314003]
berlin51_1,2,51,10,1515450,15450,0,1500000,1145,16,5100,0.01229405403137207,[1515450]
berlin51_1,3,51,10,1313266,13266,0,1300000,1135,14,5100,0.0031125545501708984,[1313266]
berlin51_1,4,51,10,1413970,13970,0,1400000,1084,15,5100,0.06832122802734375,[1413970]
berlin51_1,5,51,10,1313519,13519,0,1300000,1098,14,5100,0.0023872852325439453,[1313519]
berlin51_1,6,51,10,1413199,13199,0,1400000,1118,15,5100,0.002930879592895508,[1413199]
berlin51_1,7,51,10,1414375,14375,0,1400000,1127,15,5100,0.0026159286499023438,[1414375]
berlin51_1,8,51,10,1313666,13666,0,1300000,1135,14,5100,0.003324747085571289,[1313666]
berlin51_1,9,51,10,1314196,14196,0,1300000,1147,14,5100,0.002269744873046875,[1314196]
berlin51_1,10,51,10,1515229,15229,0,1500000,1148,16,5100,0.04378628730773926,[1515229]
berlin51_1,11,51,10,1515084,15084,0,1500000,1120,16,5100,0.0025634765625,[1515084]
berlin51_1,12,51,10,1313589,13589,0,1300000,1136,14,5100,0.005059957504272461,[1313589]
berlin51_1,13,51,10,1615644,15644,0,1600000,1140,17,5100,0.01227879524230957,[1615644]
berlin51_1,14,51,10,1313777,13777,0,1300000,1141,14,5100,0.0022840499877929688,[1313777]
berlin51_1,15,51,10,1313494,13494,0,1300000,1144,14,5100,0.0024275779724121094,[1313494]
berlin51_1,16,51,10,1413731,13731,0,1400000,1139,15,5100,0.006701231002807617,[1413731]
berlin51_1,17,51,10,1413629,13629,0,1400000,1140,15,5100,0.002649545669555664,[1413629]
berlin51_1,18,51,10,1313791,13791,0,1300000,1140,14,5100,1.9142241477966309,[1313791]
berlin51_1,19,51,10,1514498,14498,0,1500000,1147,16,5100,0.002574443817138672,[1514498]
berlin51_1,20,51,10,1615905,15905,0,1600000,1144,17,5100,0.018012285232543945,[1615905]
berlin51_1,21,51,10,1211975,11975,0,1200000,1140,13,5100,0.002356290817260742,[1211975]
berlin51_1,22,51,10,1514511,14511,0,1500000,1145,16,5100,0.16903996467590332,[1514511]
berlin51_1,23,51,10,1213204,13204,0,1200000,1146,13,5100,0.0024111270904541016,[1213204]
berlin51_1,24,51,10,1313933,13933,0,1300000,1147,14,5100,0.11200690269470215,[1313933]
berlin51_1,25,51,10,1313777,13777,0,1300000,1140,14,5100,0.00805521011352539,[1313777]
berlin51_1,26,51,10,1514501,14501,0,1500000,1140,16,5100,0.2422175407409668,[1514501]
berlin51_1,27,51,10,1212857,12857,0,1200000,1143,13,5100,0.0022253990173339844,[1212857]
berlin51_1,28,51,10,1313615,13615,0,1300000,1147,14,5100,0.0038003921508789062,[1313615]
berlin51_1,29,51,10,1314540,14540,0,1300000,1143,14,5100,0.002361297607421875,[1314540]
berlin51_1,30,51,10,1514031,14031,0,1500000,1089,16,5100,0.0026297569274902344,[1514031]
berlin51_1,31,51,10,1112603,12603,0,1100000,1130,12,5100,0.002828836441040039,[1112603]
berlin51_1,32,51,10,1414143,14143,0,1400000,1141,15,5100,0.01771068572998047,[1414143]
berlin51_1,33,51,10,1514544,14544,0,1500000,1140,16,5100,0.009385347366333008,[1514544]
berlin51_1,34,51,10,1414509,14509,0,1400000,1147,15,5100,3.009927988052368,[1414509]
berlin51_1,35,51,10,1413430,13430,0,1400000,1141,15,5100,0.0027124881744384766,[1413430]
berlin51_1,36,51,10,1414814,14814,0,1400000,1147,15,5100,0.007256746292114258,[1414814]
berlin51_1,37,51,10,1414523,14523,0,1400000,1147,15,5100,0.0024614334106445312,[1414523]
berlin51_1,38,51,10,1313549,13549,0,1300000,1146,14,5100,0.008020401000976562,[1313549]
berlin51_1,39,51,10,1011423,11423,0,1000000,1139,11,5100,0.0020761489868164062,[1011423]
berlin51_1,40,51,10,1614271,14271,0,1600000,1148,17,5100,0.5627856254577637,[1614271]
berlin51_1,41,51,10,1514070,14070,0,1500000,1114,16,5100,0.0028285980224609375,[1514070]
berlin51_1,42,51,10,1413805,13805,0,1400000,1148,15,5100,0.003953456878662109,[1413805]
berlin51_1,43,51,10,1715474,15474,0,1700000,1140,18,5100,1.010561466217041,[1715474]
berlin51_1,44,51,10,1213376,13376,0,1200000,1117,13,5100,0.0021224021911621094,[1213376]
berlin51_1,45,51,10,1714475,14475,0,1700000,1084,18,5100,0.9333822727203369,[1714475]
berlin51_1,46,51,10,1514682,14682,0,1500000,1128,16,5100,0.00562739372253418,[1514682]
berlin51_1,47,51,10,1414639,14639,0,1400000,1141,15,5100,0.005015373229980469,[1414639]
berlin51_1,48,51,10,1414156,14156,0,1400000,1141,15,5100,2.6313631534576416,[1414156]
berlin51_1,49,51,10,1313159,13159,0,1300000,1139,14,5100,0.002155303955078125,[1313159]
berlin52_2,0,51,10,11164,9302,404,1458,1316,8,1372,0.06920528411865234,[11164]
berlin52_2,1,51,10,10338,8698,426,1214,1308,8,1350,3.217346429824829,[10338]
berlin52_2,2,51,10,11182,9244,436,1502,1291,8,1340,0.028015851974487305,[11182]
berlin52_2,3,51,10,10243,8371,438,1434,1290,7,1338,0.0018579959869384766,[10243]
berlin52_2,4,51,10,10683,8803,438,1442,1267,8,1338,0.13275837898254395,[10683]
berlin52_2,5,51,10,10962,9289,441,1232,1302,8,1335,0.029707670211791992,[10962]
berlin52_2,6,51,10,10713,9155,430,1128,1302,8,1346,0.3898634910583496,[10713]
berlin52_2,7,51,10,10022,8258,440,1324,1248,8,1336,0.0015141963958740234,[10022]
berlin52_2,8,51,10,11242,9302,414,1526,1311,8,1362,0.13672733306884766,[11242]
berlin52_2,9,51,10,10801,8871,420,1510,1272,8,1356,1.7029330730438232,[10801]
berlin52_2,10,51,10,10976,9032,418,1526,1306,8,1358,23.339579105377197,[10976]
berlin52_2,11,51,10,10578,8637,405,1536,1287,8,1371,5.495660066604614,[10578]
berlin52_2,12,51,10,10820,9055,407,1358,1310,8,1369,0.07465410232543945,[10820]
berlin52_2,13,51,10,11597,9476,419,1702,1312,8,1357,0.42925119400024414,[11597]
berlin52_2,14,51,10,10969,9068,419,1482,1312,8,1357,0.015550613403320312,[10969]
berlin52_2,15,51,10,11677,9607,396,1674,1306,8,1380,0.0018625259399414062,[11677]
berlin52_2,16,51,10,9804,8032,438,1334,1295,7,1338,0.002021312713623047,[9804]
berlin52_2,17,51,10,11123,9255,416,1452,1310,8,1360,0.029254436492919922,[11123]
berlin52_2,18,51,10,10387,8535,430,1422,1239,8,1346,0.005152225494384766,[10387]
berlin52_2,19,51,10,11648,9606,424,1618,1307,8,1352,0.0021860599517822266,[11648]
berlin52_2,20,51,10,10256,8493,439,1324,1300,8,1337,0.0015347003936767578,[10256]
berlin52_2,21,51,10,10316,8627,421,1268,1306,7,1355,0.0016841888427734375,[10316]
berlin52_2,22,51,10,10724,8988,406,1330,1285,8,1370,0.007488727569580078,[10724]
berlin52_2,23,51,10,8978,7435,429,1114,1314,6,1347,0.001340627670288086,[8978]
berlin52_2,24,51,10,10427,8567,438,1422,1314,8,1338,0.0018553733825683594,[10427]
berlin52_2,25,51,10,11312,9304,418,1590,1312,8,1358,0.002614259719848633,[11312]
berlin52_2,26,51,10,10903,9028,441,1434,1312,8,1335,0.006810426712036133,[10903]
berlin52_2,27,51,10,10960,9165,443,1352,1309,8,1333,0.001512289047241211,[10960]
berlin52_2,28,51,10,10876,8942,408,1526,1302,8,1368,0.002828359603881836,[10876]
berlin52_2,29,51,10,9353,7595,440,1318,1219,7,1336,0.3174314498901367,[9353]
berlin52_2,30,51,10,10446,8560,432,1454,1250,8,1344,0.002152681350708008,[10446]
berlin52_2,31,51,10,11763,9840,399,1524,1319,8,1377,0.001661062240600586,[11763]
berlin52_2,32,51,10,10114,8035,441,1638,1248,8,1335,0.9359498023986816,[10114]
berlin52_2,33,51,10,10672,8937,431,1304,1310,8,1345,2.2059104442596436,[10672]
berlin52_2,34,51,10,10876,8857,417,1602,1310,8,1359,0.7402398586273193,[10876]
berlin52_2,35,51,10,9738,8242,438,1058,1320,7,1338,0.001413106918334961,[9738]
berlin52_2,36,51,10,11223,9040,439,1744,1285,8,1337,0.541297197341919,[11223]
berlin52_2,37,51,10,11303,9619,384,1300,1308,8,1392,0.04493141174316406,[11303]
berlin52_2,38,51,10,11254,9249,433,1572,1302,8,1343,0.399794340133667,[11254]
berlin52_2,39,51,10,11041,9201,372,1468,1296,8,1404,0.0016584396362304688,[11041]
berlin52_2,40,51,10,10503,8726,381,1396,1302,8,1395,0.0013010501861572266,[10503]
berlin52_2,41,51,10,10911,8880,441,1590,1264,8,1335,14.872522354125977,[10911]
berlin52_2,42,51,10,10390,8419,435,1536,1310,8,1341,0.29700422286987305,[10390]
berlin52_2,43,51,10,10657,9054,441,1162,1302,8,1335,0.38147473335266113,[10657]
berlin52_2,44,51,10,10618,8530,430,1658,1291,8,1346,0.0019521713256835938,[10618]
berlin52_2,45,51,10,10607,8721,432,1454,1320,8,1344,0.0016040802001953125,[10607]
berlin52_2,46,51,10,11335,9256,427,1652,1281,8,1349,0.001634359359741211,[11335]
berlin52_2,47,51,10,10536,8915,443,1178,1316,8,1333,0.28487610816955566,[10536]
berlin52_2,48,51,10,11046,9074,440,1532,1222,8,1336,0.11566662788391113,[11046]
berlin52_2,49,51,10,10168,8310,438,1420,1314,8,1338,5.020894289016724,[10168]
berlin52_3,0,51,10,8487,6645,872,970,1146,7,904,0.0014688968658447266,[8487]
berlin52_3,1,51,10,8943,6926,843,1174,1137,7,933,0.0016350746154785156,[8943]
berlin52_3,2,51,10,10365,8241,860,1264,1136,9,916,0.00174713134765625,[10365]
berlin52_3,3,51,10,10187,7869,830,1488,1148,8,946,0.001678466796875,[10187]
berlin52_3,4,51,10,9175,7175,840,1160,1131,7,936,0.0016632080078125,[9175]
