Instance_Name,Number_Of_Customers,Number_Of_Hotels,Objective_Value,Sum_of_Trips,Penalties,Hotel_Fees,Max_Trip_Length,Number_Of_Trips,Prize,Time,Trace
test,3,2,1070,970,0,100,600,2,2000,0.812647819519043,[892855.7333333334, 892855.7333333334, 893065.7333333334, 893065.7333333334, 893065.7333333334, 892855.7333333334, 892855.7333333334, 892855.7333333334, 892855.7333333334, 893065.7333333334, 893065.7333333334, 893065.7333333334, 893065.7333333334, 893065.7333333334, 893065.7333333334, 893065.7333333334, 893065.7333333334, 893065.7333333334, 892855.7333333334, 893065.7333333334, 893065.7333333334, 893065.7333333334, 892855.7333333334, 893065.7333333334, 892855.7333333334, 892855.7333333334, 893065.7333333334, 893065.7333333334, 893065.7333333334, 892855.7333333334, 893065.7333333334, 892855.7333333334, 892855.7333333334, 893065.7333333334, 893065.7333333334, 892855.7333333334, 893065.7333333334, 892855.7333333334, 893065.7333333334, 893065.7333333334, 893065.7333333334, 893065.7333333334, 893065.7333333334, 893065.7333333334, 893065.7333333334, 892855.7333333334, 893065.7333333334, 893065.7333333334, 893065.7333333334, 892855.7333333334, 892855.7333333334, 893065.7333333334, 893065.7333333334, 893065.7333333334, 893065.7333333334, 892855.7333333334, 892855.7333333334, 892855.7333333334, 892855.7333333334, 892855.7333333334, 893065.7333333334, 892855.7333333334, 893065.7333333334, 892855.7333333334, 893065.7333333334, 893065.7333333334, 892855.7333333334, 892855.7333333334, 892855.7333333334, 893065.7333333334, 893065.7333333334, 893065.7333333334, 892855.7333333334, 892855.7333333334, 892855.7333333334, 892675.7333333334, 893065.7333333334, 893065.7333333334, 893065.7333333334, 893065.7333333334, 892855.7333333334, 893065.7333333334, 893065.7333333334, 893065.7333333334, 892855.7333333334, 893065.7333333334, 892855.7333333334, 892675.7333333334, 892855.7333333334, 893065.7333333334, 892675.7333333334, 893065.7333333334, 893065.7333333334, 893065.7333333334, 892855.7333333334, 892515.7333333334, 893065.7333333334, 893065.7333333334, 892675.7333333334, 893065.7333333334]
pr8_1,30,2,204810,4810,0,200000,1697,3,3000,2.3218839168548584,[2047099280.407, 1916827895.407, 2051517673.707, 1849528124.407, 1916539784.543, 1916660516.2910001, 1849110375.15, 1916665148.8040001, 1981609711.407, 1916802448.842, 2051471114.035, 1983117262.407, 2051409350.084, 2044481090.3960001, 2051338475.8470001, 2048741000.943, 2051727439.407, 1984228151.407, 1647191674.098, 1984072060.405, 1983897796.0470002, 2050518870.407, 1849176911.581, 2050517688.407, 2051323645.645, 1984020106.806, 2050227612.51, 1984065451.793, 2051448349.1660001, 2048729240.785, 1979697502.407, 2049007651.407, 2051627985.407, 1849404009.56, 2050235348.829, 1916748792.8730001, 2050517019.407, 1982868299.211, 2050267431.885, 1916928212.407, 1984073523.438, 1782128047.407, 1983933694.019, 1782128293.407, 1916536576.085, 1647228310.407, 1781925935.7, 1916828253.407, 1849350314.265, 2051255548.148, 1580028041.407, 2050302126.868, 2048771158.336, 1916828124.407, 1849146528.111, 1984328220.407, 1915399944.769, 2050518234.407, 2051455595.4520001, 2049009351.407, 2049005276.407, 1849319508.1100001, 2051323331.6230001, 2051412962.868, 1916698631.058, 1984227989.407, 2051189264.076, 1983932020.9420002, 1915719665.407, 2047098293.407, 1984110869.813, 2050252269.0310001, 1310428315.407, 1512528575.407, 1984227191.407, 2050520418.407, 1849314387.2710001, 1984227911.407, 2051433543.323, 1781952038.331, 1981381135.8530002, 2046781041.923, 2050142950.0930002, 1916604792.593, 1916651480.657, 1983118501.407, 2051255321.1260002, 1781888512.988, 1916535152.726, 1983902654.864, 2051627811.407, 1849297339.003, 1984117888.403, 1916672781.742, 2051627430.407, 1983938445.173, 2051415775.641, 1781870157.295, 1916751797.983, 2048794061.63]
berlin52_2,51,10,22945,21215,366,1364,4655,8,1410,3.8885395526885986,[253510350.62424242, 314366125.93939394, 314501647.3333333, 314322932.8787879, 314647666.73939395, 314527296.90909094, 313536276.1272727, 314639583.7151515, 314566039.7818182, 313431265.3030303, 314401069.43030304, 314361161.40606064, 314239753.2969697, 306697406.9818182, 314652312.6363636, 314521127.1515151, 314382403.2969697, 278811586.4787879, 314343399.58787876, 314260780.1575758, 314475886.6606061, 312686874.77575755, 314382454.1090909, 313759467.41818184, 314075511.40606064, 314596118.25454545, 314311795.630303, 314405228.06666666, 314604948.1151515, 314192980.7939394, 314052171.5212121, 314529820.26666665, 314327736.8181818, 314440231.07878786, 314081061.6969697, 314485081.26666665, 313953440.6424242, 314275871.1757576, 314589213.1939394, 313473863.57575756, 314238955.8242424, 314094270.23030305, 314399117.57575756, 314360412.92121214, 314295342.3272727, 314557513.8787879, 314587145.25454545, 314608173.3757576, 313931038.1393939, 314366123.73939395, 314208807.3393939, 314540989.9030303, 305272498.2848485, 313645561.1393939, 314122276.3393939, 314653189.3878788, 313968995.2909091, 314363478.0969697, 313894333.4969697, 314589136.8060606, 289021469.0181818, 314495583.76969695, 314225419.7939394, 313898313.5151515, 314008722.169697, 314640626.42424244, 314641435.27272725, 314397234.8969697, 314594182.1090909, 313916539.1454545, 314420373.6666667, 314491759.6060606, 313584227.6121212, 313957563.55757576, 313999781.8121212, 314411672.76969695, 314644875.23636365, 283952097.4909091, 313560366.06666666, 312941464.1272727, 314422613.72121215, 297378446.8848485, 312319917.44242424, 314503703.8545455, 313002194.3818182, 314174011.7939394, 314651996.3939394, 288523433.5030303, 314578068.8787879, 314052701.08484846, 314476807.6060606, 314266240.1636364, 285008140.4969697, 314349565.3939394, 314456069.23636365, 287350604.3575758, 314650239.2848485, 314478568.8484849, 314206421.1393939, 297201682.8666667]
berlin52_2,51,10,18838,17571,423,844,5491,5,1353,4.110967397689819,[313351035.46060604, 314414422.6181818, 314507662.07878786, 314245686.06666666, 288668908.77575755, 314412068.1878788, 314547505.53939396, 314646436.75151515, 314274770.5939394, 314061957.3151515, 314321696.2121212, 313831945.8424242, 314221920.1393939, 314155620.09090906, 314486586.94545454, 314233857.23636365, 314284249.8606061, 313551419.24242425, 314424612.169697, 313859855.3030303, 314215513.3333333, 314595275.0242424, 314471150.58787876, 312947766.91515154, 314594565.1030303, 314384809.5939394, 314347018.73939395, 314651116.07272726, 314328331.8363636, 314098774.9878788, 314252647.26666665, 313175879.030303, 314213545.91515154, 314420041.6242424, 307884350.24848485, 314438874.5090909, 314143643.09090906, 314452077.369697, 310633080.2969697, 313982863.3939394, 314487984.06060606, 314114460.08484846, 313464413.55151516, 314639466.830303, 314537061.9030303, 314562335.0969697, 305068702.76363635, 314284407.42424244, 312864327.9757576, 313813304.7818182, 285013209.630303, 314341183.0121212, 314358455.4909091, 314400387.2909091, 314620763.3333333, 314019021.1515151, 314597665.93939394, 314364582.3333333, 314464063.830303, 307369740.55151516, 314436136.06060606, 314385993.2969697, 314284583.7878788, 314174413.8787879, 314532329.91515154, 313866500.06666666, 293913076.3212121, 313714257.58787876, 314228563.3454546, 314565270.23636365, 314144913.4848485, 314482852.9757576, 314652070.3575758, 314651762.1515151, 313882936.04848486, 314364685.24242425, 314194898.6848485, 314390887.1151515, 311805129.72727275, 314311769.8484849, 314446757.1333333, 314426066.58787876, 314347195.54545456, 313817271.44242424, 314367707.3090909, 314057009.92727274, 314469864.7090909, 310059410.7030303, 314599703.06666666, 314470936.76969695, 314115850.3272727, 314367770.54545456, 314412372.1393939, 314484000.8484849, 314650694.6, 313814883.76969695, 314430381.0, 314270027.3454546, 314654778.25454545, 314543502.6484848]
